group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Beider-Morse,,,,,231580.0,ns,2
Beider-Morse,,,,,437427.0,ns,4
Beider-Morse,,,,,624294.0,ns,6
Beider-Morse,,,,,824425.0,ns,8
Beider-Morse,,,,,1020621.0,ns,10
Beider-Morse,,,,,1230824.0,ns,12
Beider-Morse,,,,,1419662.0,ns,14
Beider-Morse,,,,,1669929.0,ns,16
Beider-Morse,,,,,1847056.0,ns,18
Beider-Morse,,,,,2081625.0,ns,20
Beider-Morse,,,,,2263322.0,ns,22
Beider-Morse,,,,,2478852.0,ns,24
Beider-Morse,,,,,2663655.0,ns,26
Beider-Morse,,,,,2886000.0,ns,28
Beider-Morse,,,,,3081297.0,ns,30
Beider-Morse,,,,,3353382.0,ns,32
Beider-Morse,,,,,3613187.0,ns,34
Beider-Morse,,,,,3754911.0,ns,36
Beider-Morse,,,,,3904033.0,ns,38
Beider-Morse,,,,,4229978.0,ns,40
Beider-Morse,,,,,4466242.0,ns,42
Beider-Morse,,,,,5982317.0,ns,44
Beider-Morse,,,,,4775596.0,ns,46
Beider-Morse,,,,,4943268.0,ns,48
Beider-Morse,,,,,5120550.0,ns,50
Beider-Morse,,,,,5283903.0,ns,52
Beider-Morse,,,,,5514655.0,ns,54
Beider-Morse,,,,,5758302.0,ns,56
Beider-Morse,,,,,5971620.0,ns,58
Beider-Morse,,,,,6124683.0,ns,60
Beider-Morse,,,,,6391824.0,ns,62
Beider-Morse,,,,,6572987.0,ns,64
Beider-Morse,,,,,6779069.0,ns,66
Beider-Morse,,,,,6985909.0,ns,68
Beider-Morse,,,,,7182250.0,ns,70
Beider-Morse,,,,,7382590.0,ns,72
Beider-Morse,,,,,7536092.0,ns,74
Beider-Morse,,,,,7668267.0,ns,76
Beider-Morse,,,,,7869119.0,ns,78
Beider-Morse,,,,,8264398.0,ns,80
Beider-Morse,,,,,8454455.0,ns,82
Beider-Morse,,,,,8559867.0,ns,84
Beider-Morse,,,,,8823889.0,ns,86
