group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Cologne,,,,,107398.0,ns,510
Cologne,,,,,214175.0,ns,1020
Cologne,,,,,324537.0,ns,1530
Cologne,,,,,426778.0,ns,2040
Cologne,,,,,538794.0,ns,2550
Cologne,,,,,646517.0,ns,3060
Cologne,,,,,754959.0,ns,3570
Cologne,,,,,851302.0,ns,4080
Cologne,,,,,952698.0,ns,4590
Cologne,,,,,1058694.0,ns,5100
Cologne,,,,,1156530.0,ns,5610
Cologne,,,,,1261714.0,ns,6120
Cologne,,,,,1381003.0,ns,6630
Cologne,,,,,1489245.0,ns,7140
Cologne,,,,,1612198.0,ns,7650
Cologne,,,,,1697186.0,ns,8160
Cologne,,,,,1885131.0,ns,8670
Cologne,,,,,1980980.0,ns,9180
Cologne,,,,,2071045.0,ns,9690
Cologne,,,,,2208400.0,ns,10200
Cologne,,,,,2304702.0,ns,10710
Cologne,,,,,2392606.0,ns,11220
Cologne,,,,,2463037.0,ns,11730
Cologne,,,,,2535391.0,ns,12240
Cologne,,,,,2658317.0,ns,12750
Cologne,,,,,2759477.0,ns,13260
Cologne,,,,,2927694.0,ns,13770
Cologne,,,,,3053940.0,ns,14280
Cologne,,,,,3214389.0,ns,14790
Cologne,,,,,3293355.0,ns,15300
Cologne,,,,,3389898.0,ns,15810
Cologne,,,,,3537885.0,ns,16320
Cologne,,,,,3635064.0,ns,16830
Cologne,,,,,3738008.0,ns,17340
Cologne,,,,,3686991.0,ns,17850
Cologne,,,,,3812100.0,ns,18360
Cologne,,,,,4043304.0,ns,18870
Cologne,,,,,4090329.0,ns,19380
Cologne,,,,,4296140.0,ns,19890
Cologne,,,,,4424999.0,ns,20400
Cologne,,,,,4515044.0,ns,20910
Cologne,,,,,4619598.0,ns,21420
Cologne,,,,,4710616.0,ns,21930
Cologne,,,,,4832802.0,ns,22440
Cologne,,,,,4899303.0,ns,22950
Cologne,,,,,5041017.0,ns,23460
Cologne,,,,,5196970.0,ns,23970
Cologne,,,,,5281106.0,ns,24480
Cologne,,,,,5473291.0,ns,24990
Cologne,,,,,5423277.0,ns,25500
Cologne,,,,,5433018.0,ns,26010
Cologne,,,,,5553401.0,ns,26520
Cologne,,,,,5701092.0,ns,27030
Cologne,,,,,5885068.0,ns,27540
Cologne,,,,,5932779.0,ns,28050
Cologne,,,,,6162105.0,ns,28560
Cologne,,,,,6297776.0,ns,29070
Cologne,,,,,6212081.0,ns,29580
