group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Cologne,,,,,159043.0,ns,509
Cologne,,,,,213386.0,ns,1018
Cologne,,,,,319772.0,ns,1527
Cologne,,,,,425377.0,ns,2036
Cologne,,,,,532928.0,ns,2545
Cologne,,,,,644452.0,ns,3054
Cologne,,,,,765601.0,ns,3563
Cologne,,,,,892209.0,ns,4072
Cologne,,,,,994922.0,ns,4581
Cologne,,,,,1105679.0,ns,5090
Cologne,,,,,1208531.0,ns,5599
Cologne,,,,,1331522.0,ns,6108
Cologne,,,,,1440178.0,ns,6617
Cologne,,,,,1788403.0,ns,7126
Cologne,,,,,1678091.0,ns,7635
Cologne,,,,,1737930.0,ns,8144
Cologne,,,,,1829142.0,ns,8653
Cologne,,,,,1924078.0,ns,9162
Cologne,,,,,2078102.0,ns,9671
Cologne,,,,,2170400.0,ns,10180
Cologne,,,,,2261033.0,ns,10689
Cologne,,,,,3823537.0,ns,11198
Cologne,,,,,3312353.0,ns,11707
Cologne,,,,,2627580.0,ns,12216
Cologne,,,,,2731072.0,ns,12725
Cologne,,,,,2913002.0,ns,13234
Cologne,,,,,3001581.0,ns,13743
Cologne,,,,,3128546.0,ns,14252
Cologne,,,,,3326367.0,ns,14761
Cologne,,,,,3431032.0,ns,15270
Cologne,,,,,3506117.0,ns,15779
Cologne,,,,,3550778.0,ns,16288
Cologne,,,,,3643023.0,ns,16797
Cologne,,,,,3656686.0,ns,17306
Cologne,,,,,3779667.0,ns,17815
Cologne,,,,,3870102.0,ns,18324
Cologne,,,,,4024707.0,ns,18833
Cologne,,,,,4098293.0,ns,19342
Cologne,,,,,4221097.0,ns,19851
Cologne,,,,,4364762.0,ns,20360
Cologne,,,,,4536895.0,ns,20869
Cologne,,,,,4616385.0,ns,21378
Cologne,,,,,4599771.0,ns,21887
Cologne,,,,,4821599.0,ns,22396
Cologne,,,,,4990398.0,ns,22905
Cologne,,,,,5136400.0,ns,23414
Cologne,,,,,5219625.0,ns,23923
Cologne,,,,,5314473.0,ns,24432
Cologne,,,,,5270884.0,ns,24941
Cologne,,,,,5370342.0,ns,25450
Cologne,,,,,5457290.0,ns,25959
Cologne,,,,,5593283.0,ns,26468
Cologne,,,,,5884733.0,ns,26977
Cologne,,,,,5909901.0,ns,27486
Cologne,,,,,6053491.0,ns,27995
Cologne,,,,,6026443.0,ns,28504
Cologne,,,,,6238254.0,ns,29013
Cologne,,,,,6395139.0,ns,29522
Cologne,,,,,6474453.0,ns,30031
Cologne,,,,,6471783.0,ns,30540
Cologne,,,,,6656085.0,ns,31049
Cologne,,,,,6659992.0,ns,31558
Cologne,,,,,6836811.0,ns,32067
Cologne,,,,,7043940.0,ns,32576
Cologne,,,,,7210392.0,ns,33085
Cologne,,,,,7067011.0,ns,33594
Cologne,,,,,7291820.0,ns,34103
Cologne,,,,,7320975.0,ns,34612
Cologne,,,,,7635756.0,ns,35121
Cologne,,,,,7545466.0,ns,35630
Cologne,,,,,7632027.0,ns,36139
Cologne,,,,,7764283.0,ns,36648
Cologne,,,,,10725260.0,ns,37157
Cologne,,,,,11936170.0,ns,37666
Cologne,,,,,8348387.0,ns,38175
Cologne,,,,,8462395.0,ns,38684
Cologne,,,,,8525756.0,ns,39193
Cologne,,,,,8630084.0,ns,39702
Cologne,,,,,8629307.0,ns,40211
Cologne,,,,,8840471.0,ns,40720
Cologne,,,,,8969630.0,ns,41229
Cologne,,,,,8855196.0,ns,41738
Cologne,,,,,8867569.0,ns,42247
Cologne,,,,,9085873.0,ns,42756
Cologne,,,,,9370101.0,ns,43265
Cologne,,,,,9603269.0,ns,43774
Cologne,,,,,9829741.0,ns,44283
Cologne,,,,,9662417.0,ns,44792
Cologne,,,,,9556430.0,ns,45301
Cologne,,,,,9772568.0,ns,45810
Cologne,,,,,10075557.0,ns,46319
Cologne,,,,,9965154.0,ns,46828
Cologne,,,,,10253377.0,ns,47337
Cologne,,,,,10114503.0,ns,47846
Cologne,,,,,11010806.0,ns,48355
Cologne,,,,,11988926.0,ns,48864
Cologne,,,,,10589050.0,ns,49373
Cologne,,,,,10859470.0,ns,49882
Cologne,,,,,10701079.0,ns,50391
Cologne,,,,,10720385.0,ns,50900
Cologne,,,,,10834545.0,ns,51409
Cologne,,,,,10927789.0,ns,51918
Cologne,,,,,11145752.0,ns,52427
Cologne,,,,,11481653.0,ns,52936
Cologne,,,,,11447111.0,ns,53445
Cologne,,,,,11319593.0,ns,53954
Cologne,,,,,11849155.0,ns,54463
Cologne,,,,,11965954.0,ns,54972
Cologne,,,,,11995198.0,ns,55481
Cologne,,,,,11799753.0,ns,55990
Cologne,,,,,12258140.0,ns,56499
Cologne,,,,,12039956.0,ns,57008
Cologne,,,,,14387178.0,ns,57517
Cologne,,,,,12575736.0,ns,58026
Cologne,,,,,12500589.0,ns,58535
Cologne,,,,,12710648.0,ns,59044
Cologne,,,,,12479059.0,ns,59553
Cologne,,,,,12905476.0,ns,60062
Cologne,,,,,12971259.0,ns,60571
Cologne,,,,,13331575.0,ns,61080
Cologne,,,,,13590505.0,ns,61589
Cologne,,,,,13581229.0,ns,62098
Cologne,,,,,13386734.0,ns,62607
Cologne,,,,,13314567.0,ns,63116
Cologne,,,,,13586481.0,ns,63625
Cologne,,,,,13540831.0,ns,64134
Cologne,,,,,13877665.0,ns,64643
Cologne,,,,,13780902.0,ns,65152
Cologne,,,,,16330758.0,ns,65661
Cologne,,,,,13897129.0,ns,66170
Cologne,,,,,14285954.0,ns,66679
Cologne,,,,,14113524.0,ns,67188
Cologne,,,,,14215229.0,ns,67697
Cologne,,,,,14570407.0,ns,68206
Cologne,,,,,14599676.0,ns,68715
Cologne,,,,,14569696.0,ns,69224
Cologne,,,,,15121015.0,ns,69733
Cologne,,,,,15500030.0,ns,70242
Cologne,,,,,14900555.0,ns,70751
Cologne,,,,,15170900.0,ns,71260
Cologne,,,,,15247405.0,ns,71769
Cologne,,,,,18303515.0,ns,72278
Cologne,,,,,15404544.0,ns,72787
Cologne,,,,,15459134.0,ns,73296
Cologne,,,,,15954929.0,ns,73805
Cologne,,,,,15585191.0,ns,74314
Cologne,,,,,16065403.0,ns,74823
Cologne,,,,,15789049.0,ns,75332
Cologne,,,,,15960057.0,ns,75841
Cologne,,,,,16537413.0,ns,76350
Cologne,,,,,16584059.0,ns,76859
Cologne,,,,,16270364.0,ns,77368
Cologne,,,,,16400111.0,ns,77877
Cologne,,,,,22737414.0,ns,78386
Cologne,,,,,17428879.0,ns,78895
