group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Daitch Mokotoff Soundex (encode),,,,,108692.0,ns,80
Daitch Mokotoff Soundex (encode),,,,,217118.0,ns,160
Daitch Mokotoff Soundex (encode),,,,,324054.0,ns,240
Daitch Mokotoff Soundex (encode),,,,,431460.0,ns,320
Daitch Mokotoff Soundex (encode),,,,,539573.0,ns,400
Daitch Mokotoff Soundex (encode),,,,,665654.0,ns,480
Daitch Mokotoff Soundex (encode),,,,,788538.0,ns,560
Daitch Mokotoff Soundex (encode),,,,,890657.0,ns,640
Daitch Mokotoff Soundex (encode),,,,,1006171.0,ns,720
Daitch Mokotoff Soundex (encode),,,,,1116550.0,ns,800
Daitch Mokotoff Soundex (encode),,,,,1236716.0,ns,880
Daitch Mokotoff Soundex (encode),,,,,1335434.0,ns,960
Daitch Mokotoff Soundex (encode),,,,,1451509.0,ns,1040
Daitch Mokotoff Soundex (encode),,,,,1567732.0,ns,1120
Daitch Mokotoff Soundex (encode),,,,,1676635.0,ns,1200
Daitch Mokotoff Soundex (encode),,,,,1794217.0,ns,1280
Daitch Mokotoff Soundex (encode),,,,,1887715.0,ns,1360
Daitch Mokotoff Soundex (encode),,,,,2019418.0,ns,1440
Daitch Mokotoff Soundex (encode),,,,,2120701.0,ns,1520
Daitch Mokotoff Soundex (encode),,,,,2290115.0,ns,1600
Daitch Mokotoff Soundex (encode),,,,,2416466.0,ns,1680
Daitch Mokotoff Soundex (encode),,,,,2511929.0,ns,1760
Daitch Mokotoff Soundex (encode),,,,,2571543.0,ns,1840
Daitch Mokotoff Soundex (encode),,,,,2674788.0,ns,1920
Daitch Mokotoff Soundex (encode),,,,,2795026.0,ns,2000
Daitch Mokotoff Soundex (encode),,,,,2905637.0,ns,2080
Daitch Mokotoff Soundex (encode),,,,,3020311.0,ns,2160
Daitch Mokotoff Soundex (encode),,,,,3131956.0,ns,2240
Daitch Mokotoff Soundex (encode),,,,,3203287.0,ns,2320
Daitch Mokotoff Soundex (encode),,,,,3242315.0,ns,2400
Daitch Mokotoff Soundex (encode),,,,,3364053.0,ns,2480
Daitch Mokotoff Soundex (encode),,,,,3475712.0,ns,2560
Daitch Mokotoff Soundex (encode),,,,,3645266.0,ns,2640
Daitch Mokotoff Soundex (encode),,,,,3781700.0,ns,2720
Daitch Mokotoff Soundex (encode),,,,,3883188.0,ns,2800
Daitch Mokotoff Soundex (encode),,,,,3936751.0,ns,2880
Daitch Mokotoff Soundex (encode),,,,,4003099.0,ns,2960
Daitch Mokotoff Soundex (encode),,,,,4127588.0,ns,3040
Daitch Mokotoff Soundex (encode),,,,,4248222.0,ns,3120
Daitch Mokotoff Soundex (encode),,,,,4466346.0,ns,3200
Daitch Mokotoff Soundex (encode),,,,,4513325.0,ns,3280
Daitch Mokotoff Soundex (encode),,,,,4692705.0,ns,3360
Daitch Mokotoff Soundex (encode),,,,,4794603.0,ns,3440
Daitch Mokotoff Soundex (encode),,,,,4904357.0,ns,3520
Daitch Mokotoff Soundex (encode),,,,,4969568.0,ns,3600
Daitch Mokotoff Soundex (encode),,,,,5014691.0,ns,3680
Daitch Mokotoff Soundex (encode),,,,,5126156.0,ns,3760
Daitch Mokotoff Soundex (encode),,,,,5354175.0,ns,3840
Daitch Mokotoff Soundex (encode),,,,,5418103.0,ns,3920
Daitch Mokotoff Soundex (encode),,,,,5431806.0,ns,4000
Daitch Mokotoff Soundex (encode),,,,,5565836.0,ns,4080
Daitch Mokotoff Soundex (encode),,,,,5640778.0,ns,4160
Daitch Mokotoff Soundex (encode),,,,,5750056.0,ns,4240
Daitch Mokotoff Soundex (encode),,,,,5856653.0,ns,4320
Daitch Mokotoff Soundex (encode),,,,,5971337.0,ns,4400
Daitch Mokotoff Soundex (encode),,,,,6082871.0,ns,4480
Daitch Mokotoff Soundex (encode),,,,,6181073.0,ns,4560
Daitch Mokotoff Soundex (encode),,,,,6469374.0,ns,4640
Daitch Mokotoff Soundex (encode),,,,,6440485.0,ns,4720
Daitch Mokotoff Soundex (encode),,,,,6534318.0,ns,4800
Daitch Mokotoff Soundex (encode),,,,,6626946.0,ns,4880
Daitch Mokotoff Soundex (encode),,,,,6732564.0,ns,4960
Daitch Mokotoff Soundex (encode),,,,,6878908.0,ns,5040
Daitch Mokotoff Soundex (encode),,,,,7164944.0,ns,5120
Daitch Mokotoff Soundex (encode),,,,,7256881.0,ns,5200
Daitch Mokotoff Soundex (encode),,,,,7249910.0,ns,5280
Daitch Mokotoff Soundex (encode),,,,,7276417.0,ns,5360
Daitch Mokotoff Soundex (encode),,,,,7316797.0,ns,5440
Daitch Mokotoff Soundex (encode),,,,,7472029.0,ns,5520
Daitch Mokotoff Soundex (encode),,,,,7645585.0,ns,5600
Daitch Mokotoff Soundex (encode),,,,,7935607.0,ns,5680
Daitch Mokotoff Soundex (encode),,,,,8026329.0,ns,5760
Daitch Mokotoff Soundex (encode),,,,,7934530.0,ns,5840
Daitch Mokotoff Soundex (encode),,,,,8001156.0,ns,5920
Daitch Mokotoff Soundex (encode),,,,,8103025.0,ns,6000
Daitch Mokotoff Soundex (encode),,,,,8250313.0,ns,6080
Daitch Mokotoff Soundex (encode),,,,,8358749.0,ns,6160
Daitch Mokotoff Soundex (encode),,,,,8472281.0,ns,6240
Daitch Mokotoff Soundex (encode),,,,,8562894.0,ns,6320
Daitch Mokotoff Soundex (encode),,,,,8658961.0,ns,6400
Daitch Mokotoff Soundex (encode),,,,,8798458.0,ns,6480
Daitch Mokotoff Soundex (encode),,,,,9020339.0,ns,6560
Daitch Mokotoff Soundex (encode),,,,,9191585.0,ns,6640
Daitch Mokotoff Soundex (encode),,,,,9404772.0,ns,6720
Daitch Mokotoff Soundex (encode),,,,,9322612.0,ns,6800
Daitch Mokotoff Soundex (encode),,,,,9331794.0,ns,6880
Daitch Mokotoff Soundex (encode),,,,,9365137.0,ns,6960
Daitch Mokotoff Soundex (encode),,,,,9452478.0,ns,7040
Daitch Mokotoff Soundex (encode),,,,,9683926.0,ns,7120
Daitch Mokotoff Soundex (encode),,,,,9753501.0,ns,7200
Daitch Mokotoff Soundex (encode),,,,,9873013.0,ns,7280
Daitch Mokotoff Soundex (encode),,,,,9971592.0,ns,7360
Daitch Mokotoff Soundex (encode),,,,,10277062.0,ns,7440
Daitch Mokotoff Soundex (encode),,,,,10189714.0,ns,7520
Daitch Mokotoff Soundex (encode),,,,,10321776.0,ns,7600
Daitch Mokotoff Soundex (encode),,,,,10394312.0,ns,7680
Daitch Mokotoff Soundex (encode),,,,,11390539.0,ns,7760
Daitch Mokotoff Soundex (encode),,,,,10647000.0,ns,7840
Daitch Mokotoff Soundex (encode),,,,,10615439.0,ns,7920
Daitch Mokotoff Soundex (encode),,,,,10810613.0,ns,8000
Daitch Mokotoff Soundex (encode),,,,,10791054.0,ns,8080
Daitch Mokotoff Soundex (encode),,,,,11016044.0,ns,8160
