group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Daitch Mokotoff Soundex (encode),,,,,108812.0,ns,71
Daitch Mokotoff Soundex (encode),,,,,216699.0,ns,142
Daitch Mokotoff Soundex (encode),,,,,324763.0,ns,213
Daitch Mokotoff Soundex (encode),,,,,432877.0,ns,284
Daitch Mokotoff Soundex (encode),,,,,540889.0,ns,355
Daitch Mokotoff Soundex (encode),,,,,649066.0,ns,426
Daitch Mokotoff Soundex (encode),,,,,759990.0,ns,497
Daitch Mokotoff Soundex (encode),,,,,870755.0,ns,568
Daitch Mokotoff Soundex (encode),,,,,977540.0,ns,639
Daitch Mokotoff Soundex (encode),,,,,1082786.0,ns,710
Daitch Mokotoff Soundex (encode),,,,,1183386.0,ns,781
Daitch Mokotoff Soundex (encode),,,,,1302419.0,ns,852
Daitch Mokotoff Soundex (encode),,,,,1382162.0,ns,923
Daitch Mokotoff Soundex (encode),,,,,1476335.0,ns,994
Daitch Mokotoff Soundex (encode),,,,,1627992.0,ns,1065
Daitch Mokotoff Soundex (encode),,,,,1751462.0,ns,1136
Daitch Mokotoff Soundex (encode),,,,,2156033.0,ns,1207
Daitch Mokotoff Soundex (encode),,,,,2044532.0,ns,1278
Daitch Mokotoff Soundex (encode),,,,,2259437.0,ns,1349
Daitch Mokotoff Soundex (encode),,,,,2167491.0,ns,1420
Daitch Mokotoff Soundex (encode),,,,,2314951.0,ns,1491
Daitch Mokotoff Soundex (encode),,,,,2387986.0,ns,1562
Daitch Mokotoff Soundex (encode),,,,,2497177.0,ns,1633
Daitch Mokotoff Soundex (encode),,,,,2634802.0,ns,1704
Daitch Mokotoff Soundex (encode),,,,,2782758.0,ns,1775
Daitch Mokotoff Soundex (encode),,,,,2875717.0,ns,1846
Daitch Mokotoff Soundex (encode),,,,,2994539.0,ns,1917
Daitch Mokotoff Soundex (encode),,,,,3208887.0,ns,1988
Daitch Mokotoff Soundex (encode),,,,,3303922.0,ns,2059
Daitch Mokotoff Soundex (encode),,,,,3377490.0,ns,2130
Daitch Mokotoff Soundex (encode),,,,,3470656.0,ns,2201
Daitch Mokotoff Soundex (encode),,,,,3574285.0,ns,2272
Daitch Mokotoff Soundex (encode),,,,,3595535.0,ns,2343
Daitch Mokotoff Soundex (encode),,,,,3703533.0,ns,2414
Daitch Mokotoff Soundex (encode),,,,,3806952.0,ns,2485
Daitch Mokotoff Soundex (encode),,,,,3926566.0,ns,2556
Daitch Mokotoff Soundex (encode),,,,,4074415.0,ns,2627
Daitch Mokotoff Soundex (encode),,,,,4255469.0,ns,2698
Daitch Mokotoff Soundex (encode),,,,,4340116.0,ns,2769
Daitch Mokotoff Soundex (encode),,,,,4491696.0,ns,2840
Daitch Mokotoff Soundex (encode),,,,,4613954.0,ns,2911
Daitch Mokotoff Soundex (encode),,,,,4610126.0,ns,2982
Daitch Mokotoff Soundex (encode),,,,,4702636.0,ns,3053
Daitch Mokotoff Soundex (encode),,,,,4790633.0,ns,3124
Daitch Mokotoff Soundex (encode),,,,,4902300.0,ns,3195
Daitch Mokotoff Soundex (encode),,,,,4997055.0,ns,3266
Daitch Mokotoff Soundex (encode),,,,,5104618.0,ns,3337
Daitch Mokotoff Soundex (encode),,,,,5400872.0,ns,3408
Daitch Mokotoff Soundex (encode),,,,,5444694.0,ns,3479
Daitch Mokotoff Soundex (encode),,,,,5572378.0,ns,3550
Daitch Mokotoff Soundex (encode),,,,,5728360.0,ns,3621
Daitch Mokotoff Soundex (encode),,,,,5745064.0,ns,3692
Daitch Mokotoff Soundex (encode),,,,,5872323.0,ns,3763
Daitch Mokotoff Soundex (encode),,,,,5879549.0,ns,3834
Daitch Mokotoff Soundex (encode),,,,,6164015.0,ns,3905
Daitch Mokotoff Soundex (encode),,,,,6200109.0,ns,3976
Daitch Mokotoff Soundex (encode),,,,,6248056.0,ns,4047
Daitch Mokotoff Soundex (encode),,,,,6309625.0,ns,4118
Daitch Mokotoff Soundex (encode),,,,,6400908.0,ns,4189
Daitch Mokotoff Soundex (encode),,,,,6557030.0,ns,4260
Daitch Mokotoff Soundex (encode),,,,,6761060.0,ns,4331
Daitch Mokotoff Soundex (encode),,,,,6847301.0,ns,4402
Daitch Mokotoff Soundex (encode),,,,,6844804.0,ns,4473
Daitch Mokotoff Soundex (encode),,,,,6953582.0,ns,4544
Daitch Mokotoff Soundex (encode),,,,,7108235.0,ns,4615
Daitch Mokotoff Soundex (encode),,,,,7199753.0,ns,4686
Daitch Mokotoff Soundex (encode),,,,,7297232.0,ns,4757
Daitch Mokotoff Soundex (encode),,,,,7494527.0,ns,4828
Daitch Mokotoff Soundex (encode),,,,,7580901.0,ns,4899
Daitch Mokotoff Soundex (encode),,,,,7872027.0,ns,4970
Daitch Mokotoff Soundex (encode),,,,,7802029.0,ns,5041
Daitch Mokotoff Soundex (encode),,,,,7834804.0,ns,5112
Daitch Mokotoff Soundex (encode),,,,,8151291.0,ns,5183
Daitch Mokotoff Soundex (encode),,,,,8116096.0,ns,5254
Daitch Mokotoff Soundex (encode),,,,,8363769.0,ns,5325
Daitch Mokotoff Soundex (encode),,,,,8258697.0,ns,5396
Daitch Mokotoff Soundex (encode),,,,,8356157.0,ns,5467
Daitch Mokotoff Soundex (encode),,,,,8480049.0,ns,5538
Daitch Mokotoff Soundex (encode),,,,,8794691.0,ns,5609
Daitch Mokotoff Soundex (encode),,,,,8754902.0,ns,5680
Daitch Mokotoff Soundex (encode),,,,,8919392.0,ns,5751
Daitch Mokotoff Soundex (encode),,,,,8958670.0,ns,5822
Daitch Mokotoff Soundex (encode),,,,,9329631.0,ns,5893
Daitch Mokotoff Soundex (encode),,,,,9153516.0,ns,5964
Daitch Mokotoff Soundex (encode),,,,,9247967.0,ns,6035
Daitch Mokotoff Soundex (encode),,,,,9419308.0,ns,6106
Daitch Mokotoff Soundex (encode),,,,,9460421.0,ns,6177
Daitch Mokotoff Soundex (encode),,,,,9582260.0,ns,6248
Daitch Mokotoff Soundex (encode),,,,,9832088.0,ns,6319
Daitch Mokotoff Soundex (encode),,,,,9864514.0,ns,6390
Daitch Mokotoff Soundex (encode),,,,,10172537.0,ns,6461
Daitch Mokotoff Soundex (encode),,,,,10249979.0,ns,6532
Daitch Mokotoff Soundex (encode),,,,,10092666.0,ns,6603
Daitch Mokotoff Soundex (encode),,,,,10266155.0,ns,6674
Daitch Mokotoff Soundex (encode),,,,,10325624.0,ns,6745
Daitch Mokotoff Soundex (encode),,,,,10517402.0,ns,6816
Daitch Mokotoff Soundex (encode),,,,,10856778.0,ns,6887
Daitch Mokotoff Soundex (encode),,,,,10637818.0,ns,6958
Daitch Mokotoff Soundex (encode),,,,,10649325.0,ns,7029
Daitch Mokotoff Soundex (encode),,,,,10879979.0,ns,7100
Daitch Mokotoff Soundex (encode),,,,,10953657.0,ns,7171
Daitch Mokotoff Soundex (encode),,,,,11084392.0,ns,7242
Daitch Mokotoff Soundex (encode),,,,,11259824.0,ns,7313
Daitch Mokotoff Soundex (encode),,,,,11304019.0,ns,7384
Daitch Mokotoff Soundex (encode),,,,,11519748.0,ns,7455
Daitch Mokotoff Soundex (encode),,,,,12003674.0,ns,7526
Daitch Mokotoff Soundex (encode),,,,,11669191.0,ns,7597
Daitch Mokotoff Soundex (encode),,,,,11589527.0,ns,7668
Daitch Mokotoff Soundex (encode),,,,,11998824.0,ns,7739
Daitch Mokotoff Soundex (encode),,,,,12081548.0,ns,7810
Daitch Mokotoff Soundex (encode),,,,,12044676.0,ns,7881
Daitch Mokotoff Soundex (encode),,,,,12066559.0,ns,7952
Daitch Mokotoff Soundex (encode),,,,,12314093.0,ns,8023
Daitch Mokotoff Soundex (encode),,,,,12498917.0,ns,8094
Daitch Mokotoff Soundex (encode),,,,,12876601.0,ns,8165
Daitch Mokotoff Soundex (encode),,,,,12619308.0,ns,8236
Daitch Mokotoff Soundex (encode),,,,,12682490.0,ns,8307
Daitch Mokotoff Soundex (encode),,,,,13076828.0,ns,8378
Daitch Mokotoff Soundex (encode),,,,,12916622.0,ns,8449
Daitch Mokotoff Soundex (encode),,,,,12896313.0,ns,8520
Daitch Mokotoff Soundex (encode),,,,,13278871.0,ns,8591
Daitch Mokotoff Soundex (encode),,,,,13429002.0,ns,8662
Daitch Mokotoff Soundex (encode),,,,,13782062.0,ns,8733
Daitch Mokotoff Soundex (encode),,,,,13279265.0,ns,8804
Daitch Mokotoff Soundex (encode),,,,,13724638.0,ns,8875
Daitch Mokotoff Soundex (encode),,,,,13922382.0,ns,8946
Daitch Mokotoff Soundex (encode),,,,,13821658.0,ns,9017
Daitch Mokotoff Soundex (encode),,,,,13879318.0,ns,9088
Daitch Mokotoff Soundex (encode),,,,,14036004.0,ns,9159
Daitch Mokotoff Soundex (encode),,,,,14242267.0,ns,9230
Daitch Mokotoff Soundex (encode),,,,,14254226.0,ns,9301
Daitch Mokotoff Soundex (encode),,,,,15983825.0,ns,9372
Daitch Mokotoff Soundex (encode),,,,,14410715.0,ns,9443
Daitch Mokotoff Soundex (encode),,,,,15000603.0,ns,9514
Daitch Mokotoff Soundex (encode),,,,,15188055.0,ns,9585
Daitch Mokotoff Soundex (encode),,,,,15003733.0,ns,9656
Daitch Mokotoff Soundex (encode),,,,,15113970.0,ns,9727
Daitch Mokotoff Soundex (encode),,,,,14990139.0,ns,9798
Daitch Mokotoff Soundex (encode),,,,,15381075.0,ns,9869
Daitch Mokotoff Soundex (encode),,,,,15276760.0,ns,9940
Daitch Mokotoff Soundex (encode),,,,,15462038.0,ns,10011
Daitch Mokotoff Soundex (encode),,,,,15480863.0,ns,10082
Daitch Mokotoff Soundex (encode),,,,,15823621.0,ns,10153
Daitch Mokotoff Soundex (encode),,,,,15400513.0,ns,10224
Daitch Mokotoff Soundex (encode),,,,,16164602.0,ns,10295
Daitch Mokotoff Soundex (encode),,,,,15691440.0,ns,10366
Daitch Mokotoff Soundex (encode),,,,,15943867.0,ns,10437
Daitch Mokotoff Soundex (encode),,,,,16404082.0,ns,10508
Daitch Mokotoff Soundex (encode),,,,,16160837.0,ns,10579
Daitch Mokotoff Soundex (encode),,,,,15972442.0,ns,10650
Daitch Mokotoff Soundex (encode),,,,,16783541.0,ns,10721
Daitch Mokotoff Soundex (encode),,,,,16406859.0,ns,10792
Daitch Mokotoff Soundex (encode),,,,,17170174.0,ns,10863
Daitch Mokotoff Soundex (encode),,,,,16417184.0,ns,10934
Daitch Mokotoff Soundex (encode),,,,,16815745.0,ns,11005
Daitch Mokotoff Soundex (encode),,,,,17051974.0,ns,11076
Daitch Mokotoff Soundex (encode),,,,,17348917.0,ns,11147
Daitch Mokotoff Soundex (encode),,,,,17162246.0,ns,11218
Daitch Mokotoff Soundex (encode),,,,,17585591.0,ns,11289
Daitch Mokotoff Soundex (encode),,,,,17810534.0,ns,11360
Daitch Mokotoff Soundex (encode),,,,,17862041.0,ns,11431
Daitch Mokotoff Soundex (encode),,,,,17966287.0,ns,11502
Daitch Mokotoff Soundex (encode),,,,,18293364.0,ns,11573
Daitch Mokotoff Soundex (encode),,,,,17872510.0,ns,11644
Daitch Mokotoff Soundex (encode),,,,,18154716.0,ns,11715
Daitch Mokotoff Soundex (encode),,,,,18036306.0,ns,11786
Daitch Mokotoff Soundex (encode),,,,,18325627.0,ns,11857
Daitch Mokotoff Soundex (encode),,,,,18227265.0,ns,11928
Daitch Mokotoff Soundex (encode),,,,,18488795.0,ns,11999
Daitch Mokotoff Soundex (encode),,,,,18995417.0,ns,12070
Daitch Mokotoff Soundex (encode),,,,,18109563.0,ns,12141
Daitch Mokotoff Soundex (encode),,,,,18844281.0,ns,12212
Daitch Mokotoff Soundex (encode),,,,,19188287.0,ns,12283
Daitch Mokotoff Soundex (encode),,,,,18896389.0,ns,12354
Daitch Mokotoff Soundex (encode),,,,,19144465.0,ns,12425
Daitch Mokotoff Soundex (encode),,,,,19334631.0,ns,12496
Daitch Mokotoff Soundex (encode),,,,,19343422.0,ns,12567
Daitch Mokotoff Soundex (encode),,,,,19333409.0,ns,12638
Daitch Mokotoff Soundex (encode),,,,,19417108.0,ns,12709
Daitch Mokotoff Soundex (encode),,,,,19673137.0,ns,12780
Daitch Mokotoff Soundex (encode),,,,,19768427.0,ns,12851
Daitch Mokotoff Soundex (encode),,,,,19925651.0,ns,12922
Daitch Mokotoff Soundex (encode),,,,,19455630.0,ns,12993
Daitch Mokotoff Soundex (encode),,,,,20220078.0,ns,13064
Daitch Mokotoff Soundex (encode),,,,,20185096.0,ns,13135
Daitch Mokotoff Soundex (encode),,,,,20048989.0,ns,13206
Daitch Mokotoff Soundex (encode),,,,,20270990.0,ns,13277
Daitch Mokotoff Soundex (encode),,,,,20591274.0,ns,13348
Daitch Mokotoff Soundex (encode),,,,,20371120.0,ns,13419
Daitch Mokotoff Soundex (encode),,,,,23417370.0,ns,13490
Daitch Mokotoff Soundex (encode),,,,,21017242.0,ns,13561
Daitch Mokotoff Soundex (encode),,,,,21301347.0,ns,13632
Daitch Mokotoff Soundex (encode),,,,,21312404.0,ns,13703
Daitch Mokotoff Soundex (encode),,,,,21191165.0,ns,13774
Daitch Mokotoff Soundex (encode),,,,,21645579.0,ns,13845
Daitch Mokotoff Soundex (encode),,,,,21356081.0,ns,13916
Daitch Mokotoff Soundex (encode),,,,,21638782.0,ns,13987
Daitch Mokotoff Soundex (encode),,,,,21835394.0,ns,14058
Daitch Mokotoff Soundex (encode),,,,,21864099.0,ns,14129
Daitch Mokotoff Soundex (encode),,,,,21959299.0,ns,14200
Daitch Mokotoff Soundex (encode),,,,,21846741.0,ns,14271
Daitch Mokotoff Soundex (encode),,,,,22021748.0,ns,14342
Daitch Mokotoff Soundex (encode),,,,,22341377.0,ns,14413
Daitch Mokotoff Soundex (encode),,,,,21983589.0,ns,14484
Daitch Mokotoff Soundex (encode),,,,,22613874.0,ns,14555
