group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Daitch Mokotoff Soundex (soundex),,,,,134189.0,ns,35
Daitch Mokotoff Soundex (soundex),,,,,207729.0,ns,70
Daitch Mokotoff Soundex (soundex),,,,,303822.0,ns,105
Daitch Mokotoff Soundex (soundex),,,,,405519.0,ns,140
Daitch Mokotoff Soundex (soundex),,,,,531204.0,ns,175
Daitch Mokotoff Soundex (soundex),,,,,632512.0,ns,210
Daitch Mokotoff Soundex (soundex),,,,,735654.0,ns,245
Daitch Mokotoff Soundex (soundex),,,,,811978.0,ns,280
Daitch Mokotoff Soundex (soundex),,,,,934320.0,ns,315
Daitch Mokotoff Soundex (soundex),,,,,1044967.0,ns,350
Daitch Mokotoff Soundex (soundex),,,,,1151411.0,ns,385
Daitch Mokotoff Soundex (soundex),,,,,1254372.0,ns,420
Daitch Mokotoff Soundex (soundex),,,,,1361647.0,ns,455
Daitch Mokotoff Soundex (soundex),,,,,1469407.0,ns,490
Daitch Mokotoff Soundex (soundex),,,,,1573844.0,ns,525
Daitch Mokotoff Soundex (soundex),,,,,1681300.0,ns,560
Daitch Mokotoff Soundex (soundex),,,,,1784082.0,ns,595
Daitch Mokotoff Soundex (soundex),,,,,1875629.0,ns,630
Daitch Mokotoff Soundex (soundex),,,,,2017356.0,ns,665
Daitch Mokotoff Soundex (soundex),,,,,2301146.0,ns,700
Daitch Mokotoff Soundex (soundex),,,,,2420501.0,ns,735
Daitch Mokotoff Soundex (soundex),,,,,2552892.0,ns,770
Daitch Mokotoff Soundex (soundex),,,,,2618668.0,ns,805
Daitch Mokotoff Soundex (soundex),,,,,2786334.0,ns,840
Daitch Mokotoff Soundex (soundex),,,,,2877979.0,ns,875
Daitch Mokotoff Soundex (soundex),,,,,2985702.0,ns,910
Daitch Mokotoff Soundex (soundex),,,,,3104999.0,ns,945
Daitch Mokotoff Soundex (soundex),,,,,3217690.0,ns,980
Daitch Mokotoff Soundex (soundex),,,,,3393601.0,ns,1015
Daitch Mokotoff Soundex (soundex),,,,,3552191.0,ns,1050
Daitch Mokotoff Soundex (soundex),,,,,3659296.0,ns,1085
Daitch Mokotoff Soundex (soundex),,,,,3782565.0,ns,1120
Daitch Mokotoff Soundex (soundex),,,,,3816207.0,ns,1155
