group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Daitch Mokotoff Soundex (soundex),,,,,183131.0,ns,36
Daitch Mokotoff Soundex (soundex),,,,,248155.0,ns,72
Daitch Mokotoff Soundex (soundex),,,,,322248.0,ns,108
Daitch Mokotoff Soundex (soundex),,,,,430166.0,ns,144
Daitch Mokotoff Soundex (soundex),,,,,536939.0,ns,180
Daitch Mokotoff Soundex (soundex),,,,,754614.0,ns,216
Daitch Mokotoff Soundex (soundex),,,,,886508.0,ns,252
Daitch Mokotoff Soundex (soundex),,,,,958196.0,ns,288
Daitch Mokotoff Soundex (soundex),,,,,977617.0,ns,324
Daitch Mokotoff Soundex (soundex),,,,,1063137.0,ns,360
Daitch Mokotoff Soundex (soundex),,,,,1126823.0,ns,396
Daitch Mokotoff Soundex (soundex),,,,,1239838.0,ns,432
Daitch Mokotoff Soundex (soundex),,,,,1411034.0,ns,468
Daitch Mokotoff Soundex (soundex),,,,,1546837.0,ns,504
Daitch Mokotoff Soundex (soundex),,,,,1659904.0,ns,540
Daitch Mokotoff Soundex (soundex),,,,,1774510.0,ns,576
Daitch Mokotoff Soundex (soundex),,,,,1883925.0,ns,612
Daitch Mokotoff Soundex (soundex),,,,,1950367.0,ns,648
Daitch Mokotoff Soundex (soundex),,,,,2387949.0,ns,684
Daitch Mokotoff Soundex (soundex),,,,,2287989.0,ns,720
Daitch Mokotoff Soundex (soundex),,,,,2258344.0,ns,756
Daitch Mokotoff Soundex (soundex),,,,,2443378.0,ns,792
Daitch Mokotoff Soundex (soundex),,,,,2525410.0,ns,828
Daitch Mokotoff Soundex (soundex),,,,,2703248.0,ns,864
Daitch Mokotoff Soundex (soundex),,,,,2717350.0,ns,900
Daitch Mokotoff Soundex (soundex),,,,,2938078.0,ns,936
Daitch Mokotoff Soundex (soundex),,,,,3078137.0,ns,972
Daitch Mokotoff Soundex (soundex),,,,,3058491.0,ns,1008
Daitch Mokotoff Soundex (soundex),,,,,3277815.0,ns,1044
Daitch Mokotoff Soundex (soundex),,,,,3413416.0,ns,1080
Daitch Mokotoff Soundex (soundex),,,,,3497554.0,ns,1116
Daitch Mokotoff Soundex (soundex),,,,,3556995.0,ns,1152
Daitch Mokotoff Soundex (soundex),,,,,3532618.0,ns,1188
Daitch Mokotoff Soundex (soundex),,,,,3798081.0,ns,1224
Daitch Mokotoff Soundex (soundex),,,,,3854446.0,ns,1260
Daitch Mokotoff Soundex (soundex),,,,,3950947.0,ns,1296
Daitch Mokotoff Soundex (soundex),,,,,3876946.0,ns,1332
Daitch Mokotoff Soundex (soundex),,,,,3931074.0,ns,1368
Daitch Mokotoff Soundex (soundex),,,,,4190662.0,ns,1404
Daitch Mokotoff Soundex (soundex),,,,,4538154.0,ns,1440
Daitch Mokotoff Soundex (soundex),,,,,4665097.0,ns,1476
Daitch Mokotoff Soundex (soundex),,,,,4766311.0,ns,1512
Daitch Mokotoff Soundex (soundex),,,,,4763074.0,ns,1548
Daitch Mokotoff Soundex (soundex),,,,,4812547.0,ns,1584
Daitch Mokotoff Soundex (soundex),,,,,4886661.0,ns,1620
Daitch Mokotoff Soundex (soundex),,,,,4949323.0,ns,1656
Daitch Mokotoff Soundex (soundex),,,,,5193593.0,ns,1692
Daitch Mokotoff Soundex (soundex),,,,,5221865.0,ns,1728
Daitch Mokotoff Soundex (soundex),,,,,5426015.0,ns,1764
Daitch Mokotoff Soundex (soundex),,,,,5455696.0,ns,1800
Daitch Mokotoff Soundex (soundex),,,,,5718089.0,ns,1836
Daitch Mokotoff Soundex (soundex),,,,,5704334.0,ns,1872
Daitch Mokotoff Soundex (soundex),,,,,5874391.0,ns,1908
Daitch Mokotoff Soundex (soundex),,,,,5957060.0,ns,1944
Daitch Mokotoff Soundex (soundex),,,,,6025324.0,ns,1980
Daitch Mokotoff Soundex (soundex),,,,,6009711.0,ns,2016
Daitch Mokotoff Soundex (soundex),,,,,5896734.0,ns,2052
Daitch Mokotoff Soundex (soundex),,,,,6417231.0,ns,2088
Daitch Mokotoff Soundex (soundex),,,,,6590299.0,ns,2124
Daitch Mokotoff Soundex (soundex),,,,,6700203.0,ns,2160
Daitch Mokotoff Soundex (soundex),,,,,6762524.0,ns,2196
Daitch Mokotoff Soundex (soundex),,,,,6780898.0,ns,2232
Daitch Mokotoff Soundex (soundex),,,,,6949753.0,ns,2268
Daitch Mokotoff Soundex (soundex),,,,,6988635.0,ns,2304
Daitch Mokotoff Soundex (soundex),,,,,7079725.0,ns,2340
Daitch Mokotoff Soundex (soundex),,,,,7239918.0,ns,2376
Daitch Mokotoff Soundex (soundex),,,,,7378020.0,ns,2412
Daitch Mokotoff Soundex (soundex),,,,,7364754.0,ns,2448
Daitch Mokotoff Soundex (soundex),,,,,7622651.0,ns,2484
Daitch Mokotoff Soundex (soundex),,,,,7636973.0,ns,2520
Daitch Mokotoff Soundex (soundex),,,,,7914006.0,ns,2556
Daitch Mokotoff Soundex (soundex),,,,,7947081.0,ns,2592
Daitch Mokotoff Soundex (soundex),,,,,8109287.0,ns,2628
Daitch Mokotoff Soundex (soundex),,,,,8233540.0,ns,2664
Daitch Mokotoff Soundex (soundex),,,,,8212823.0,ns,2700
Daitch Mokotoff Soundex (soundex),,,,,8597028.0,ns,2736
Daitch Mokotoff Soundex (soundex),,,,,8459895.0,ns,2772
Daitch Mokotoff Soundex (soundex),,,,,8481700.0,ns,2808
Daitch Mokotoff Soundex (soundex),,,,,8809066.0,ns,2844
Daitch Mokotoff Soundex (soundex),,,,,8759193.0,ns,2880
Daitch Mokotoff Soundex (soundex),,,,,8951562.0,ns,2916
Daitch Mokotoff Soundex (soundex),,,,,9139719.0,ns,2952
Daitch Mokotoff Soundex (soundex),,,,,9236301.0,ns,2988
Daitch Mokotoff Soundex (soundex),,,,,9120400.0,ns,3024
Daitch Mokotoff Soundex (soundex),,,,,9280147.0,ns,3060
Daitch Mokotoff Soundex (soundex),,,,,9394680.0,ns,3096
Daitch Mokotoff Soundex (soundex),,,,,9506358.0,ns,3132
Daitch Mokotoff Soundex (soundex),,,,,9629288.0,ns,3168
