group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Double Metaphone,,,,,111465.0,ns,226
Double Metaphone,,,,,212049.0,ns,452
Double Metaphone,,,,,317731.0,ns,678
Double Metaphone,,,,,426247.0,ns,904
Double Metaphone,,,,,558079.0,ns,1130
Double Metaphone,,,,,671475.0,ns,1356
Double Metaphone,,,,,753818.0,ns,1582
Double Metaphone,,,,,887970.0,ns,1808
Double Metaphone,,,,,986228.0,ns,2034
Double Metaphone,,,,,1097584.0,ns,2260
Double Metaphone,,,,,1217084.0,ns,2486
Double Metaphone,,,,,1328021.0,ns,2712
Double Metaphone,,,,,1449828.0,ns,2938
Double Metaphone,,,,,1558008.0,ns,3164
Double Metaphone,,,,,1663860.0,ns,3390
Double Metaphone,,,,,1774513.0,ns,3616
Double Metaphone,,,,,1873175.0,ns,3842
Double Metaphone,,,,,1939359.0,ns,4068
Double Metaphone,,,,,2020745.0,ns,4294
Double Metaphone,,,,,2138905.0,ns,4520
Double Metaphone,,,,,2272185.0,ns,4746
Double Metaphone,,,,,2368985.0,ns,4972
Double Metaphone,,,,,2450131.0,ns,5198
Double Metaphone,,,,,2577251.0,ns,5424
Double Metaphone,,,,,2768049.0,ns,5650
Double Metaphone,,,,,2885461.0,ns,5876
Double Metaphone,,,,,3100992.0,ns,6102
Double Metaphone,,,,,3079454.0,ns,6328
Double Metaphone,,,,,3188543.0,ns,6554
Double Metaphone,,,,,3291190.0,ns,6780
Double Metaphone,,,,,3367023.0,ns,7006
Double Metaphone,,,,,3397971.0,ns,7232
Double Metaphone,,,,,3512631.0,ns,7458
Double Metaphone,,,,,3749618.0,ns,7684
Double Metaphone,,,,,3908042.0,ns,7910
Double Metaphone,,,,,4105802.0,ns,8136
Double Metaphone,,,,,4127063.0,ns,8362
Double Metaphone,,,,,4188323.0,ns,8588
Double Metaphone,,,,,4346458.0,ns,8814
Double Metaphone,,,,,4342683.0,ns,9040
Double Metaphone,,,,,4420957.0,ns,9266
Double Metaphone,,,,,4619609.0,ns,9492
Double Metaphone,,,,,4720126.0,ns,9718
Double Metaphone,,,,,4830496.0,ns,9944
Double Metaphone,,,,,4953410.0,ns,10170
Double Metaphone,,,,,5087945.0,ns,10396
Double Metaphone,,,,,5185861.0,ns,10622
Double Metaphone,,,,,5274554.0,ns,10848
Double Metaphone,,,,,5388749.0,ns,11074
Double Metaphone,,,,,5414687.0,ns,11300
Double Metaphone,,,,,5479967.0,ns,11526
Double Metaphone,,,,,5567402.0,ns,11752
Double Metaphone,,,,,5636779.0,ns,11978
Double Metaphone,,,,,5739305.0,ns,12204
Double Metaphone,,,,,6129901.0,ns,12430
Double Metaphone,,,,,6332989.0,ns,12656
Double Metaphone,,,,,6502705.0,ns,12882
Double Metaphone,,,,,6537165.0,ns,13108
Double Metaphone,,,,,6517873.0,ns,13334
Double Metaphone,,,,,6482594.0,ns,13560
Double Metaphone,,,,,6510465.0,ns,13786
Double Metaphone,,,,,6589928.0,ns,14012
Double Metaphone,,,,,6954226.0,ns,14238
Double Metaphone,,,,,7104312.0,ns,14464
Double Metaphone,,,,,7163751.0,ns,14690
Double Metaphone,,,,,7278251.0,ns,14916
Double Metaphone,,,,,7376529.0,ns,15142
Double Metaphone,,,,,7511623.0,ns,15368
Double Metaphone,,,,,7774132.0,ns,15594
Double Metaphone,,,,,7770163.0,ns,15820
Double Metaphone,,,,,7822119.0,ns,16046
Double Metaphone,,,,,7812312.0,ns,16272
Double Metaphone,,,,,7812508.0,ns,16498
Double Metaphone,,,,,8047005.0,ns,16724
Double Metaphone,,,,,8163777.0,ns,16950
Double Metaphone,,,,,8246454.0,ns,17176
Double Metaphone,,,,,8466505.0,ns,17402
Double Metaphone,,,,,8498289.0,ns,17628
Double Metaphone,,,,,8465846.0,ns,17854
Double Metaphone,,,,,9127452.0,ns,18080
Double Metaphone,,,,,8924181.0,ns,18306
Double Metaphone,,,,,9043461.0,ns,18532
Double Metaphone,,,,,9129227.0,ns,18758
Double Metaphone,,,,,9145688.0,ns,18984
Double Metaphone,,,,,9032630.0,ns,19210
Double Metaphone,,,,,9530867.0,ns,19436
Double Metaphone,,,,,9539706.0,ns,19662
Double Metaphone,,,,,10154727.0,ns,19888
Double Metaphone,,,,,9793176.0,ns,20114
Double Metaphone,,,,,9963702.0,ns,20340
Double Metaphone,,,,,10023254.0,ns,20566
Double Metaphone,,,,,10502173.0,ns,20792
Double Metaphone,,,,,10553392.0,ns,21018
Double Metaphone,,,,,10350090.0,ns,21244
Double Metaphone,,,,,10139927.0,ns,21470
Double Metaphone,,,,,10226859.0,ns,21696
Double Metaphone,,,,,10671057.0,ns,21922
Double Metaphone,,,,,10605543.0,ns,22148
Double Metaphone,,,,,11129667.0,ns,22374
Double Metaphone,,,,,11142033.0,ns,22600
Double Metaphone,,,,,11121322.0,ns,22826
Double Metaphone,,,,,11028957.0,ns,23052
Double Metaphone,,,,,11584601.0,ns,23278
Double Metaphone,,,,,11506975.0,ns,23504
Double Metaphone,,,,,11245896.0,ns,23730
Double Metaphone,,,,,11574891.0,ns,23956
Double Metaphone,,,,,12100118.0,ns,24182
Double Metaphone,,,,,11956376.0,ns,24408
Double Metaphone,,,,,11675968.0,ns,24634
Double Metaphone,,,,,11886526.0,ns,24860
Double Metaphone,,,,,12521398.0,ns,25086
Double Metaphone,,,,,12094632.0,ns,25312
Double Metaphone,,,,,12143890.0,ns,25538
Double Metaphone,,,,,12506740.0,ns,25764
Double Metaphone,,,,,12329621.0,ns,25990
Double Metaphone,,,,,12452802.0,ns,26216
Double Metaphone,,,,,12911119.0,ns,26442
Double Metaphone,,,,,12845947.0,ns,26668
Double Metaphone,,,,,13082721.0,ns,26894
Double Metaphone,,,,,12954773.0,ns,27120
