group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Double Metaphone,,,,,110448.0,ns,271
Double Metaphone,,,,,219495.0,ns,542
Double Metaphone,,,,,329415.0,ns,813
Double Metaphone,,,,,439160.0,ns,1084
Double Metaphone,,,,,556387.0,ns,1355
Double Metaphone,,,,,671393.0,ns,1626
Double Metaphone,,,,,771964.0,ns,1897
Double Metaphone,,,,,851968.0,ns,2168
Double Metaphone,,,,,958520.0,ns,2439
Double Metaphone,,,,,1067681.0,ns,2710
Double Metaphone,,,,,1171683.0,ns,2981
Double Metaphone,,,,,1278467.0,ns,3252
Double Metaphone,,,,,1401375.0,ns,3523
Double Metaphone,,,,,1495344.0,ns,3794
Double Metaphone,,,,,1604769.0,ns,4065
Double Metaphone,,,,,1689999.0,ns,4336
Double Metaphone,,,,,1828934.0,ns,4607
Double Metaphone,,,,,1927450.0,ns,4878
Double Metaphone,,,,,1997468.0,ns,5149
Double Metaphone,,,,,2150298.0,ns,5420
Double Metaphone,,,,,2249002.0,ns,5691
Double Metaphone,,,,,2351933.0,ns,5962
Double Metaphone,,,,,2455726.0,ns,6233
Double Metaphone,,,,,2642318.0,ns,6504
Double Metaphone,,,,,2744725.0,ns,6775
Double Metaphone,,,,,2866139.0,ns,7046
Double Metaphone,,,,,2971355.0,ns,7317
Double Metaphone,,,,,3087591.0,ns,7588
Double Metaphone,,,,,3194935.0,ns,7859
Double Metaphone,,,,,3301802.0,ns,8130
Double Metaphone,,,,,3422490.0,ns,8401
Double Metaphone,,,,,3536449.0,ns,8672
Double Metaphone,,,,,3634635.0,ns,8943
Double Metaphone,,,,,3649005.0,ns,9214
Double Metaphone,,,,,3733038.0,ns,9485
Double Metaphone,,,,,3845901.0,ns,9756
Double Metaphone,,,,,3950432.0,ns,10027
Double Metaphone,,,,,4078597.0,ns,10298
Double Metaphone,,,,,4170636.0,ns,10569
Double Metaphone,,,,,4278372.0,ns,10840
Double Metaphone,,,,,4390865.0,ns,11111
Double Metaphone,,,,,4493339.0,ns,11382
Double Metaphone,,,,,4670767.0,ns,11653
Double Metaphone,,,,,4835179.0,ns,11924
Double Metaphone,,,,,4972265.0,ns,12195
Double Metaphone,,,,,5060416.0,ns,12466
Double Metaphone,,,,,5183920.0,ns,12737
Double Metaphone,,,,,5209815.0,ns,13008
Double Metaphone,,,,,5244986.0,ns,13279
Double Metaphone,,,,,5515674.0,ns,13550
Double Metaphone,,,,,5621197.0,ns,13821
Double Metaphone,,,,,5739563.0,ns,14092
Double Metaphone,,,,,5829396.0,ns,14363
Double Metaphone,,,,,5937584.0,ns,14634
Double Metaphone,,,,,6057489.0,ns,14905
Double Metaphone,,,,,6188529.0,ns,15176
Double Metaphone,,,,,6284064.0,ns,15447
Double Metaphone,,,,,6390742.0,ns,15718
Double Metaphone,,,,,6470252.0,ns,15989
Double Metaphone,,,,,6497145.0,ns,16260
Double Metaphone,,,,,6715793.0,ns,16531
Double Metaphone,,,,,6833236.0,ns,16802
Double Metaphone,,,,,6947419.0,ns,17073
Double Metaphone,,,,,6955773.0,ns,17344
Double Metaphone,,,,,7091929.0,ns,17615
Double Metaphone,,,,,7284563.0,ns,17886
Double Metaphone,,,,,7377270.0,ns,18157
Double Metaphone,,,,,7317174.0,ns,18428
Double Metaphone,,,,,7386037.0,ns,18699
Double Metaphone,,,,,7584195.0,ns,18970
Double Metaphone,,,,,7825633.0,ns,19241
Double Metaphone,,,,,7687519.0,ns,19512
Double Metaphone,,,,,8022163.0,ns,19783
Double Metaphone,,,,,8184235.0,ns,20054
Double Metaphone,,,,,8021159.0,ns,20325
Double Metaphone,,,,,8199120.0,ns,20596
Double Metaphone,,,,,8450803.0,ns,20867
Double Metaphone,,,,,8446441.0,ns,21138
Double Metaphone,,,,,8717807.0,ns,21409
Double Metaphone,,,,,8721118.0,ns,21680
Double Metaphone,,,,,8828961.0,ns,21951
Double Metaphone,,,,,8778857.0,ns,22222
Double Metaphone,,,,,8978764.0,ns,22493
Double Metaphone,,,,,8994361.0,ns,22764
Double Metaphone,,,,,9352716.0,ns,23035
Double Metaphone,,,,,9484844.0,ns,23306
Double Metaphone,,,,,9655032.0,ns,23577
Double Metaphone,,,,,9654897.0,ns,23848
Double Metaphone,,,,,9617868.0,ns,24119
Double Metaphone,,,,,9775254.0,ns,24390
Double Metaphone,,,,,9806111.0,ns,24661
Double Metaphone,,,,,9882663.0,ns,24932
Double Metaphone,,,,,10088619.0,ns,25203
Double Metaphone,,,,,10368005.0,ns,25474
Double Metaphone,,,,,10477920.0,ns,25745
Double Metaphone,,,,,10578352.0,ns,26016
Double Metaphone,,,,,10545594.0,ns,26287
Double Metaphone,,,,,10466616.0,ns,26558
Double Metaphone,,,,,10607888.0,ns,26829
Double Metaphone,,,,,10842688.0,ns,27100
Double Metaphone,,,,,11495899.0,ns,27371
Double Metaphone,,,,,11377867.0,ns,27642
Double Metaphone,,,,,11386653.0,ns,27913
Double Metaphone,,,,,11538429.0,ns,28184
Double Metaphone,,,,,11582877.0,ns,28455
Double Metaphone,,,,,11622231.0,ns,28726
Double Metaphone,,,,,11672175.0,ns,28997
Double Metaphone,,,,,11921788.0,ns,29268
Double Metaphone,,,,,12007779.0,ns,29539
Double Metaphone,,,,,12118176.0,ns,29810
Double Metaphone,,,,,12256046.0,ns,30081
Double Metaphone,,,,,12790215.0,ns,30352
Double Metaphone,,,,,12859257.0,ns,30623
Double Metaphone,,,,,12920134.0,ns,30894
Double Metaphone,,,,,12675037.0,ns,31165
Double Metaphone,,,,,12437083.0,ns,31436
Double Metaphone,,,,,12559913.0,ns,31707
Double Metaphone,,,,,12640314.0,ns,31978
Double Metaphone,,,,,12851588.0,ns,32249
Double Metaphone,,,,,13233433.0,ns,32520
Double Metaphone,,,,,13230968.0,ns,32791
Double Metaphone,,,,,13092253.0,ns,33062
Double Metaphone,,,,,13150985.0,ns,33333
Double Metaphone,,,,,13313494.0,ns,33604
Double Metaphone,,,,,13935205.0,ns,33875
Double Metaphone,,,,,13783605.0,ns,34146
Double Metaphone,,,,,13736678.0,ns,34417
Double Metaphone,,,,,13934985.0,ns,34688
Double Metaphone,,,,,14386606.0,ns,34959
Double Metaphone,,,,,14019810.0,ns,35230
Double Metaphone,,,,,13979383.0,ns,35501
Double Metaphone,,,,,14350777.0,ns,35772
Double Metaphone,,,,,14676068.0,ns,36043
Double Metaphone,,,,,14843567.0,ns,36314
Double Metaphone,,,,,15054485.0,ns,36585
Double Metaphone,,,,,14778701.0,ns,36856
Double Metaphone,,,,,14950037.0,ns,37127
Double Metaphone,,,,,15218989.0,ns,37398
Double Metaphone,,,,,15621688.0,ns,37669
