group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Match Rating Approach,,,,,111224.0,ns,71
Match Rating Approach,,,,,221586.0,ns,142
Match Rating Approach,,,,,332536.0,ns,213
Match Rating Approach,,,,,443474.0,ns,284
Match Rating Approach,,,,,551895.0,ns,355
Match Rating Approach,,,,,670551.0,ns,426
Match Rating Approach,,,,,774608.0,ns,497
Match Rating Approach,,,,,887417.0,ns,568
Match Rating Approach,,,,,999538.0,ns,639
Match Rating Approach,,,,,1109407.0,ns,710
Match Rating Approach,,,,,1217449.0,ns,781
Match Rating Approach,,,,,1329753.0,ns,852
Match Rating Approach,,,,,1442998.0,ns,923
Match Rating Approach,,,,,1566651.0,ns,994
Match Rating Approach,,,,,1610585.0,ns,1065
Match Rating Approach,,,,,1734288.0,ns,1136
Match Rating Approach,,,,,1834806.0,ns,1207
Match Rating Approach,,,,,1945418.0,ns,1278
Match Rating Approach,,,,,2094864.0,ns,1349
Match Rating Approach,,,,,2254832.0,ns,1420
Match Rating Approach,,,,,2348195.0,ns,1491
Match Rating Approach,,,,,2448584.0,ns,1562
Match Rating Approach,,,,,2559513.0,ns,1633
Match Rating Approach,,,,,2665255.0,ns,1704
Match Rating Approach,,,,,2775755.0,ns,1775
Match Rating Approach,,,,,2882416.0,ns,1846
Match Rating Approach,,,,,2999009.0,ns,1917
Match Rating Approach,,,,,3063073.0,ns,1988
Match Rating Approach,,,,,3382903.0,ns,2059
Match Rating Approach,,,,,3355024.0,ns,2130
Match Rating Approach,,,,,3393355.0,ns,2201
Match Rating Approach,,,,,3452428.0,ns,2272
Match Rating Approach,,,,,3652562.0,ns,2343
Match Rating Approach,,,,,3794123.0,ns,2414
Match Rating Approach,,,,,3964679.0,ns,2485
Match Rating Approach,,,,,3997970.0,ns,2556
Match Rating Approach,,,,,4133812.0,ns,2627
Match Rating Approach,,,,,4231687.0,ns,2698
Match Rating Approach,,,,,4327419.0,ns,2769
Match Rating Approach,,,,,4437569.0,ns,2840
Match Rating Approach,,,,,4574822.0,ns,2911
Match Rating Approach,,,,,4665479.0,ns,2982
Match Rating Approach,,,,,4764231.0,ns,3053
Match Rating Approach,,,,,4887013.0,ns,3124
Match Rating Approach,,,,,5000279.0,ns,3195
Match Rating Approach,,,,,5192712.0,ns,3266
Match Rating Approach,,,,,5261020.0,ns,3337
Match Rating Approach,,,,,5336576.0,ns,3408
Match Rating Approach,,,,,5434727.0,ns,3479
Match Rating Approach,,,,,5551848.0,ns,3550
Match Rating Approach,,,,,5646427.0,ns,3621
Match Rating Approach,,,,,5730096.0,ns,3692
Match Rating Approach,,,,,5788695.0,ns,3763
Match Rating Approach,,,,,5925319.0,ns,3834
Match Rating Approach,,,,,6795127.0,ns,3905
Match Rating Approach,,,,,6401148.0,ns,3976
Match Rating Approach,,,,,6384636.0,ns,4047
Match Rating Approach,,,,,6422075.0,ns,4118
Match Rating Approach,,,,,6537410.0,ns,4189
Match Rating Approach,,,,,6582880.0,ns,4260
Match Rating Approach,,,,,6951328.0,ns,4331
Match Rating Approach,,,,,6916493.0,ns,4402
Match Rating Approach,,,,,6965059.0,ns,4473
Match Rating Approach,,,,,6930804.0,ns,4544
Match Rating Approach,,,,,7054230.0,ns,4615
Match Rating Approach,,,,,7353743.0,ns,4686
Match Rating Approach,,,,,7436978.0,ns,4757
Match Rating Approach,,,,,7394631.0,ns,4828
Match Rating Approach,,,,,7547270.0,ns,4899
Match Rating Approach,,,,,7776781.0,ns,4970
Match Rating Approach,,,,,7814443.0,ns,5041
Match Rating Approach,,,,,7914174.0,ns,5112
Match Rating Approach,,,,,8029577.0,ns,5183
Match Rating Approach,,,,,8159402.0,ns,5254
Match Rating Approach,,,,,8306001.0,ns,5325
Match Rating Approach,,,,,8433109.0,ns,5396
Match Rating Approach,,,,,8555505.0,ns,5467
Match Rating Approach,,,,,8719183.0,ns,5538
Match Rating Approach,,,,,8761261.0,ns,5609
Match Rating Approach,,,,,8614011.0,ns,5680
Match Rating Approach,,,,,8746157.0,ns,5751
Match Rating Approach,,,,,8946116.0,ns,5822
Match Rating Approach,,,,,9556377.0,ns,5893
Match Rating Approach,,,,,9617605.0,ns,5964
Match Rating Approach,,,,,9422471.0,ns,6035
Match Rating Approach,,,,,9427120.0,ns,6106
Match Rating Approach,,,,,9579272.0,ns,6177
Match Rating Approach,,,,,9794328.0,ns,6248
Match Rating Approach,,,,,9956446.0,ns,6319
Match Rating Approach,,,,,9840360.0,ns,6390
Match Rating Approach,,,,,10034400.0,ns,6461
Match Rating Approach,,,,,10164885.0,ns,6532
Match Rating Approach,,,,,10314454.0,ns,6603
Match Rating Approach,,,,,10294381.0,ns,6674
Match Rating Approach,,,,,10808478.0,ns,6745
Match Rating Approach,,,,,10643468.0,ns,6816
Match Rating Approach,,,,,10491664.0,ns,6887
Match Rating Approach,,,,,10710655.0,ns,6958
Match Rating Approach,,,,,11491176.0,ns,7029
Match Rating Approach,,,,,11470817.0,ns,7100
Match Rating Approach,,,,,11181567.0,ns,7171
Match Rating Approach,,,,,10992728.0,ns,7242
Match Rating Approach,,,,,11103045.0,ns,7313
Match Rating Approach,,,,,11892771.0,ns,7384
Match Rating Approach,,,,,11827561.0,ns,7455
Match Rating Approach,,,,,11718018.0,ns,7526
Match Rating Approach,,,,,11655051.0,ns,7597
Match Rating Approach,,,,,11993782.0,ns,7668
Match Rating Approach,,,,,12223154.0,ns,7739
Match Rating Approach,,,,,12581283.0,ns,7810
Match Rating Approach,,,,,12373446.0,ns,7881
Match Rating Approach,,,,,12339039.0,ns,7952
Match Rating Approach,,,,,12327858.0,ns,8023
Match Rating Approach,,,,,12469337.0,ns,8094
Match Rating Approach,,,,,13069842.0,ns,8165
Match Rating Approach,,,,,12888864.0,ns,8236
Match Rating Approach,,,,,12996946.0,ns,8307
Match Rating Approach,,,,,13178976.0,ns,8378
Match Rating Approach,,,,,13260173.0,ns,8449
Match Rating Approach,,,,,13256675.0,ns,8520
Match Rating Approach,,,,,13537724.0,ns,8591
Match Rating Approach,,,,,13561684.0,ns,8662
Match Rating Approach,,,,,13525774.0,ns,8733
Match Rating Approach,,,,,13522590.0,ns,8804
Match Rating Approach,,,,,14161029.0,ns,8875
Match Rating Approach,,,,,14015925.0,ns,8946
Match Rating Approach,,,,,14079905.0,ns,9017
Match Rating Approach,,,,,14093468.0,ns,9088
Match Rating Approach,,,,,14503859.0,ns,9159
Match Rating Approach,,,,,14833199.0,ns,9230
Match Rating Approach,,,,,14514277.0,ns,9301
Match Rating Approach,,,,,14816931.0,ns,9372
Match Rating Approach,,,,,15114478.0,ns,9443
Match Rating Approach,,,,,15085812.0,ns,9514
Match Rating Approach,,,,,14947579.0,ns,9585
Match Rating Approach,,,,,15416098.0,ns,9656
Match Rating Approach,,,,,15419154.0,ns,9727
Match Rating Approach,,,,,15300811.0,ns,9798
Match Rating Approach,,,,,15200109.0,ns,9869
Match Rating Approach,,,,,15235946.0,ns,9940
Match Rating Approach,,,,,15639078.0,ns,10011
Match Rating Approach,,,,,15759227.0,ns,10082
Match Rating Approach,,,,,16051539.0,ns,10153
Match Rating Approach,,,,,16261505.0,ns,10224
Match Rating Approach,,,,,16562371.0,ns,10295
Match Rating Approach,,,,,15832255.0,ns,10366
Match Rating Approach,,,,,16107998.0,ns,10437
Match Rating Approach,,,,,16064108.0,ns,10508
Match Rating Approach,,,,,16509052.0,ns,10579
Match Rating Approach,,,,,16481822.0,ns,10650
