group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Match Rating Approach,,,,,114021.0,ns,61
Match Rating Approach,,,,,228167.0,ns,122
Match Rating Approach,,,,,348279.0,ns,183
Match Rating Approach,,,,,456577.0,ns,244
Match Rating Approach,,,,,572895.0,ns,305
Match Rating Approach,,,,,678777.0,ns,366
Match Rating Approach,,,,,794541.0,ns,427
Match Rating Approach,,,,,912975.0,ns,488
Match Rating Approach,,,,,1023217.0,ns,549
Match Rating Approach,,,,,1136680.0,ns,610
Match Rating Approach,,,,,1257132.0,ns,671
Match Rating Approach,,,,,1364825.0,ns,732
Match Rating Approach,,,,,1482171.0,ns,793
Match Rating Approach,,,,,1597072.0,ns,854
Match Rating Approach,,,,,1707321.0,ns,915
Match Rating Approach,,,,,1824816.0,ns,976
Match Rating Approach,,,,,1941884.0,ns,1037
Match Rating Approach,,,,,2041448.0,ns,1098
Match Rating Approach,,,,,2081275.0,ns,1159
Match Rating Approach,,,,,2207245.0,ns,1220
Match Rating Approach,,,,,2313354.0,ns,1281
Match Rating Approach,,,,,2419454.0,ns,1342
Match Rating Approach,,,,,2563960.0,ns,1403
Match Rating Approach,,,,,2624478.0,ns,1464
Match Rating Approach,,,,,2813718.0,ns,1525
Match Rating Approach,,,,,2921376.0,ns,1586
Match Rating Approach,,,,,3074216.0,ns,1647
Match Rating Approach,,,,,3203177.0,ns,1708
Match Rating Approach,,,,,3298084.0,ns,1769
Match Rating Approach,,,,,3309622.0,ns,1830
Match Rating Approach,,,,,3402420.0,ns,1891
Match Rating Approach,,,,,3592673.0,ns,1952
Match Rating Approach,,,,,3679686.0,ns,2013
Match Rating Approach,,,,,3766060.0,ns,2074
Match Rating Approach,,,,,3983935.0,ns,2135
Match Rating Approach,,,,,4096592.0,ns,2196
Match Rating Approach,,,,,4164913.0,ns,2257
Match Rating Approach,,,,,4160064.0,ns,2318
Match Rating Approach,,,,,4248934.0,ns,2379
Match Rating Approach,,,,,4483335.0,ns,2440
Match Rating Approach,,,,,4677447.0,ns,2501
Match Rating Approach,,,,,4800524.0,ns,2562
Match Rating Approach,,,,,4713125.0,ns,2623
Match Rating Approach,,,,,4855142.0,ns,2684
Match Rating Approach,,,,,4919173.0,ns,2745
Match Rating Approach,,,,,5095093.0,ns,2806
Match Rating Approach,,,,,5210165.0,ns,2867
Match Rating Approach,,,,,5329497.0,ns,2928
Match Rating Approach,,,,,5465663.0,ns,2989
Match Rating Approach,,,,,5595826.0,ns,3050
Match Rating Approach,,,,,5760787.0,ns,3111
Match Rating Approach,,,,,5926470.0,ns,3172
Match Rating Approach,,,,,6118650.0,ns,3233
Match Rating Approach,,,,,6213221.0,ns,3294
Match Rating Approach,,,,,6133317.0,ns,3355
Match Rating Approach,,,,,6295343.0,ns,3416
Match Rating Approach,,,,,6341423.0,ns,3477
Match Rating Approach,,,,,6445519.0,ns,3538
Match Rating Approach,,,,,6567072.0,ns,3599
Match Rating Approach,,,,,6476541.0,ns,3660
Match Rating Approach,,,,,6699776.0,ns,3721
Match Rating Approach,,,,,7022505.0,ns,3782
Match Rating Approach,,,,,7103695.0,ns,3843
Match Rating Approach,,,,,7058299.0,ns,3904
Match Rating Approach,,,,,7204079.0,ns,3965
Match Rating Approach,,,,,7339499.0,ns,4026
Match Rating Approach,,,,,7437849.0,ns,4087
Match Rating Approach,,,,,7843036.0,ns,4148
Match Rating Approach,,,,,7948072.0,ns,4209
Match Rating Approach,,,,,8046981.0,ns,4270
Match Rating Approach,,,,,7875215.0,ns,4331
Match Rating Approach,,,,,7811241.0,ns,4392
