group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Metaphone,,,,,109407.0,ns,756
Metaphone,,,,,230217.0,ns,1512
Metaphone,,,,,334688.0,ns,2268
Metaphone,,,,,446266.0,ns,3024
Metaphone,,,,,562064.0,ns,3780
Metaphone,,,,,674953.0,ns,4536
Metaphone,,,,,782711.0,ns,5292
Metaphone,,,,,894528.0,ns,6048
Metaphone,,,,,984755.0,ns,6804
Metaphone,,,,,1135954.0,ns,7560
Metaphone,,,,,1230409.0,ns,8316
Metaphone,,,,,1330161.0,ns,9072
Metaphone,,,,,1418608.0,ns,9828
Metaphone,,,,,1526193.0,ns,10584
Metaphone,,,,,1634759.0,ns,11340
Metaphone,,,,,1745644.0,ns,12096
Metaphone,,,,,1890709.0,ns,12852
Metaphone,,,,,2197996.0,ns,13608
Metaphone,,,,,2124461.0,ns,14364
Metaphone,,,,,2274553.0,ns,15120
Metaphone,,,,,2421493.0,ns,15876
Metaphone,,,,,2453127.0,ns,16632
Metaphone,,,,,2584048.0,ns,17388
Metaphone,,,,,2694000.0,ns,18144
Metaphone,,,,,2801764.0,ns,18900
Metaphone,,,,,2914775.0,ns,19656
Metaphone,,,,,3016837.0,ns,20412
Metaphone,,,,,3130082.0,ns,21168
Metaphone,,,,,3247383.0,ns,21924
Metaphone,,,,,3287557.0,ns,22680
Metaphone,,,,,3387264.0,ns,23436
Metaphone,,,,,3506571.0,ns,24192
Metaphone,,,,,3700994.0,ns,24948
Metaphone,,,,,3803919.0,ns,25704
Metaphone,,,,,3844571.0,ns,26460
Metaphone,,,,,4023570.0,ns,27216
Metaphone,,,,,4149999.0,ns,27972
Metaphone,,,,,4261556.0,ns,28728
Metaphone,,,,,4379220.0,ns,29484
Metaphone,,,,,4486421.0,ns,30240
Metaphone,,,,,4607120.0,ns,30996
Metaphone,,,,,4730970.0,ns,31752
Metaphone,,,,,4824999.0,ns,32508
Metaphone,,,,,4821727.0,ns,33264
Metaphone,,,,,4903174.0,ns,34020
Metaphone,,,,,5005304.0,ns,34776
Metaphone,,,,,5106816.0,ns,35532
Metaphone,,,,,5228089.0,ns,36288
Metaphone,,,,,5495954.0,ns,37044
Metaphone,,,,,5442445.0,ns,37800
Metaphone,,,,,5659375.0,ns,38556
Metaphone,,,,,5942652.0,ns,39312
Metaphone,,,,,6109789.0,ns,40068
Metaphone,,,,,6048077.0,ns,40824
Metaphone,,,,,6167349.0,ns,41580
Metaphone,,,,,6141387.0,ns,42336
Metaphone,,,,,6277839.0,ns,43092
Metaphone,,,,,6175138.0,ns,43848
Metaphone,,,,,6403026.0,ns,44604
Metaphone,,,,,6722119.0,ns,45360
Metaphone,,,,,6838551.0,ns,46116
Metaphone,,,,,6963322.0,ns,46872
Metaphone,,,,,7026784.0,ns,47628
Metaphone,,,,,6954219.0,ns,48384
Metaphone,,,,,7200575.0,ns,49140
Metaphone,,,,,7177845.0,ns,49896
Metaphone,,,,,7185135.0,ns,50652
Metaphone,,,,,7433568.0,ns,51408
Metaphone,,,,,7918779.0,ns,52164
Metaphone,,,,,7864526.0,ns,52920
Metaphone,,,,,7966606.0,ns,53676
Metaphone,,,,,8081229.0,ns,54432
Metaphone,,,,,7975490.0,ns,55188
Metaphone,,,,,7882021.0,ns,55944
Metaphone,,,,,8429210.0,ns,56700
Metaphone,,,,,8476656.0,ns,57456
Metaphone,,,,,8368137.0,ns,58212
Metaphone,,,,,8371028.0,ns,58968
Metaphone,,,,,8610791.0,ns,59724
Metaphone,,,,,8735833.0,ns,60480
Metaphone,,,,,8809740.0,ns,61236
Metaphone,,,,,8898165.0,ns,61992
Metaphone,,,,,9015112.0,ns,62748
Metaphone,,,,,9133088.0,ns,63504
Metaphone,,,,,9599410.0,ns,64260
Metaphone,,,,,9854226.0,ns,65016
Metaphone,,,,,9688337.0,ns,65772
Metaphone,,,,,9495463.0,ns,66528
Metaphone,,,,,9546405.0,ns,67284
Metaphone,,,,,9776183.0,ns,68040
Metaphone,,,,,10142774.0,ns,68796
Metaphone,,,,,10024388.0,ns,69552
Metaphone,,,,,9959579.0,ns,70308
Metaphone,,,,,10356054.0,ns,71064
Metaphone,,,,,10699265.0,ns,71820
Metaphone,,,,,10503323.0,ns,72576
Metaphone,,,,,10565811.0,ns,73332
Metaphone,,,,,10395608.0,ns,74088
Metaphone,,,,,10682549.0,ns,74844
Metaphone,,,,,10889083.0,ns,75600
