group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Nysiis (not strict),,,,,177170.0,ns,112
Nysiis (not strict),,,,,259733.0,ns,224
Nysiis (not strict),,,,,331632.0,ns,336
Nysiis (not strict),,,,,441219.0,ns,448
Nysiis (not strict),,,,,564431.0,ns,560
Nysiis (not strict),,,,,664935.0,ns,672
Nysiis (not strict),,,,,772011.0,ns,784
Nysiis (not strict),,,,,868651.0,ns,896
Nysiis (not strict),,,,,957592.0,ns,1008
Nysiis (not strict),,,,,1070098.0,ns,1120
Nysiis (not strict),,,,,1201982.0,ns,1232
Nysiis (not strict),,,,,1315103.0,ns,1344
Nysiis (not strict),,,,,1421774.0,ns,1456
Nysiis (not strict),,,,,1535678.0,ns,1568
Nysiis (not strict),,,,,1640486.0,ns,1680
Nysiis (not strict),,,,,1756989.0,ns,1792
Nysiis (not strict),,,,,1878370.0,ns,1904
Nysiis (not strict),,,,,2003595.0,ns,2016
Nysiis (not strict),,,,,2102057.0,ns,2128
Nysiis (not strict),,,,,2264593.0,ns,2240
Nysiis (not strict),,,,,2430260.0,ns,2352
Nysiis (not strict),,,,,2579143.0,ns,2464
Nysiis (not strict),,,,,2701711.0,ns,2576
Nysiis (not strict),,,,,2814698.0,ns,2688
Nysiis (not strict),,,,,2897418.0,ns,2800
Nysiis (not strict),,,,,2939057.0,ns,2912
Nysiis (not strict),,,,,3053982.0,ns,3024
Nysiis (not strict),,,,,3171035.0,ns,3136
Nysiis (not strict),,,,,3159354.0,ns,3248
Nysiis (not strict),,,,,3274897.0,ns,3360
Nysiis (not strict),,,,,3388240.0,ns,3472
Nysiis (not strict),,,,,3494827.0,ns,3584
Nysiis (not strict),,,,,3600467.0,ns,3696
Nysiis (not strict),,,,,3698135.0,ns,3808
Nysiis (not strict),,,,,3828985.0,ns,3920
Nysiis (not strict),,,,,3935544.0,ns,4032
Nysiis (not strict),,,,,4143303.0,ns,4144
Nysiis (not strict),,,,,4356783.0,ns,4256
Nysiis (not strict),,,,,4621056.0,ns,4368
Nysiis (not strict),,,,,4682089.0,ns,4480
Nysiis (not strict),,,,,4523356.0,ns,4592
Nysiis (not strict),,,,,4641889.0,ns,4704
Nysiis (not strict),,,,,4614160.0,ns,4816
Nysiis (not strict),,,,,4701269.0,ns,4928
Nysiis (not strict),,,,,4804760.0,ns,5040
