group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Nysiis (strict),,,,,108655.0,ns,123
Nysiis (strict),,,,,215820.0,ns,246
Nysiis (strict),,,,,323782.0,ns,369
Nysiis (strict),,,,,431591.0,ns,492
Nysiis (strict),,,,,539547.0,ns,615
Nysiis (strict),,,,,667734.0,ns,738
Nysiis (strict),,,,,792010.0,ns,861
Nysiis (strict),,,,,863157.0,ns,984
Nysiis (strict),,,,,986525.0,ns,1107
Nysiis (strict),,,,,1090476.0,ns,1230
Nysiis (strict),,,,,1235428.0,ns,1353
Nysiis (strict),,,,,1335363.0,ns,1476
Nysiis (strict),,,,,1449137.0,ns,1599
Nysiis (strict),,,,,1561434.0,ns,1722
Nysiis (strict),,,,,1676995.0,ns,1845
Nysiis (strict),,,,,1799992.0,ns,1968
Nysiis (strict),,,,,1881760.0,ns,2091
Nysiis (strict),,,,,2014792.0,ns,2214
Nysiis (strict),,,,,2130837.0,ns,2337
Nysiis (strict),,,,,2240282.0,ns,2460
Nysiis (strict),,,,,2343101.0,ns,2583
Nysiis (strict),,,,,2508384.0,ns,2706
Nysiis (strict),,,,,2581476.0,ns,2829
Nysiis (strict),,,,,2682427.0,ns,2952
Nysiis (strict),,,,,2794216.0,ns,3075
Nysiis (strict),,,,,2904974.0,ns,3198
Nysiis (strict),,,,,2960826.0,ns,3321
Nysiis (strict),,,,,3107234.0,ns,3444
Nysiis (strict),,,,,3245896.0,ns,3567
Nysiis (strict),,,,,3345754.0,ns,3690
Nysiis (strict),,,,,3461093.0,ns,3813
Nysiis (strict),,,,,3517402.0,ns,3936
Nysiis (strict),,,,,3614995.0,ns,4059
Nysiis (strict),,,,,3792647.0,ns,4182
Nysiis (strict),,,,,3914937.0,ns,4305
Nysiis (strict),,,,,3893721.0,ns,4428
Nysiis (strict),,,,,4107221.0,ns,4551
Nysiis (strict),,,,,4242584.0,ns,4674
Nysiis (strict),,,,,4297904.0,ns,4797
Nysiis (strict),,,,,4326910.0,ns,4920
Nysiis (strict),,,,,4434615.0,ns,5043
Nysiis (strict),,,,,4549807.0,ns,5166
Nysiis (strict),,,,,4761049.0,ns,5289
Nysiis (strict),,,,,4827451.0,ns,5412
Nysiis (strict),,,,,5017247.0,ns,5535
Nysiis (strict),,,,,5170064.0,ns,5658
Nysiis (strict),,,,,5228603.0,ns,5781
Nysiis (strict),,,,,5269878.0,ns,5904
Nysiis (strict),,,,,5469002.0,ns,6027
Nysiis (strict),,,,,5587175.0,ns,6150
Nysiis (strict),,,,,5642009.0,ns,6273
Nysiis (strict),,,,,5626451.0,ns,6396
Nysiis (strict),,,,,5905938.0,ns,6519
Nysiis (strict),,,,,6025779.0,ns,6642
Nysiis (strict),,,,,5950219.0,ns,6765
Nysiis (strict),,,,,6057366.0,ns,6888
Nysiis (strict),,,,,6310358.0,ns,7011
Nysiis (strict),,,,,6292996.0,ns,7134
Nysiis (strict),,,,,6774155.0,ns,7257
Nysiis (strict),,,,,6916837.0,ns,7380
Nysiis (strict),,,,,6897341.0,ns,7503
Nysiis (strict),,,,,6885934.0,ns,7626
Nysiis (strict),,,,,6811746.0,ns,7749
Nysiis (strict),,,,,6916574.0,ns,7872
Nysiis (strict),,,,,7100099.0,ns,7995
Nysiis (strict),,,,,7365587.0,ns,8118
Nysiis (strict),,,,,7299329.0,ns,8241
Nysiis (strict),,,,,7585743.0,ns,8364
Nysiis (strict),,,,,7651600.0,ns,8487
Nysiis (strict),,,,,7745105.0,ns,8610
Nysiis (strict),,,,,7832320.0,ns,8733
Nysiis (strict),,,,,8085452.0,ns,8856
Nysiis (strict),,,,,8361443.0,ns,8979
Nysiis (strict),,,,,8284592.0,ns,9102
Nysiis (strict),,,,,8265059.0,ns,9225
Nysiis (strict),,,,,8177269.0,ns,9348
Nysiis (strict),,,,,8574417.0,ns,9471
Nysiis (strict),,,,,8775249.0,ns,9594
Nysiis (strict),,,,,8818477.0,ns,9717
Nysiis (strict),,,,,8700823.0,ns,9840
Nysiis (strict),,,,,8672727.0,ns,9963
Nysiis (strict),,,,,8951731.0,ns,10086
Nysiis (strict),,,,,9252548.0,ns,10209
Nysiis (strict),,,,,9256921.0,ns,10332
Nysiis (strict),,,,,9349205.0,ns,10455
Nysiis (strict),,,,,9571101.0,ns,10578
Nysiis (strict),,,,,9606934.0,ns,10701
Nysiis (strict),,,,,9683678.0,ns,10824
Nysiis (strict),,,,,9840371.0,ns,10947
Nysiis (strict),,,,,9821153.0,ns,11070
Nysiis (strict),,,,,9835066.0,ns,11193
Nysiis (strict),,,,,9942699.0,ns,11316
Nysiis (strict),,,,,10653992.0,ns,11439
Nysiis (strict),,,,,10519558.0,ns,11562
Nysiis (strict),,,,,10526736.0,ns,11685
Nysiis (strict),,,,,10410283.0,ns,11808
Nysiis (strict),,,,,10539105.0,ns,11931
Nysiis (strict),,,,,10938697.0,ns,12054
