group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Refined Soundex,,,,,109208.0,ns,157
Refined Soundex,,,,,218349.0,ns,314
Refined Soundex,,,,,327185.0,ns,471
Refined Soundex,,,,,439717.0,ns,628
Refined Soundex,,,,,545190.0,ns,785
Refined Soundex,,,,,654641.0,ns,942
Refined Soundex,,,,,761607.0,ns,1099
Refined Soundex,,,,,873547.0,ns,1256
Refined Soundex,,,,,1022694.0,ns,1413
Refined Soundex,,,,,1129538.0,ns,1570
Refined Soundex,,,,,1247493.0,ns,1727
Refined Soundex,,,,,1358197.0,ns,1884
Refined Soundex,,,,,1471728.0,ns,2041
Refined Soundex,,,,,1584467.0,ns,2198
Refined Soundex,,,,,1730955.0,ns,2355
Refined Soundex,,,,,1875536.0,ns,2512
Refined Soundex,,,,,1949789.0,ns,2669
Refined Soundex,,,,,2031737.0,ns,2826
Refined Soundex,,,,,2145268.0,ns,2983
Refined Soundex,,,,,2269678.0,ns,3140
Refined Soundex,,,,,2382399.0,ns,3297
Refined Soundex,,,,,2458697.0,ns,3454
Refined Soundex,,,,,2505323.0,ns,3611
Refined Soundex,,,,,2620352.0,ns,3768
Refined Soundex,,,,,2727971.0,ns,3925
Refined Soundex,,,,,2836598.0,ns,4082
Refined Soundex,,,,,2909676.0,ns,4239
Refined Soundex,,,,,3058148.0,ns,4396
Refined Soundex,,,,,3159810.0,ns,4553
Refined Soundex,,,,,3311308.0,ns,4710
Refined Soundex,,,,,3504402.0,ns,4867
Refined Soundex,,,,,3622988.0,ns,5024
Refined Soundex,,,,,3722264.0,ns,5181
Refined Soundex,,,,,3810626.0,ns,5338
Refined Soundex,,,,,3827953.0,ns,5495
Refined Soundex,,,,,3937131.0,ns,5652
Refined Soundex,,,,,4039042.0,ns,5809
Refined Soundex,,,,,4155457.0,ns,5966
Refined Soundex,,,,,4276396.0,ns,6123
Refined Soundex,,,,,4513364.0,ns,6280
Refined Soundex,,,,,4620870.0,ns,6437
Refined Soundex,,,,,4660929.0,ns,6594
Refined Soundex,,,,,4684254.0,ns,6751
Refined Soundex,,,,,4793505.0,ns,6908
Refined Soundex,,,,,4897946.0,ns,7065
Refined Soundex,,,,,5036029.0,ns,7222
Refined Soundex,,,,,5362848.0,ns,7379
Refined Soundex,,,,,5395715.0,ns,7536
Refined Soundex,,,,,5525853.0,ns,7693
Refined Soundex,,,,,5587935.0,ns,7850
Refined Soundex,,,,,5569263.0,ns,8007
Refined Soundex,,,,,5724300.0,ns,8164
Refined Soundex,,,,,5852261.0,ns,8321
Refined Soundex,,,,,6118499.0,ns,8478
