group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Soundex,,,,,113446.0,ns,176
Soundex,,,,,219071.0,ns,352
Soundex,,,,,334879.0,ns,528
Soundex,,,,,437959.0,ns,704
Soundex,,,,,547391.0,ns,880
Soundex,,,,,660450.0,ns,1056
Soundex,,,,,769644.0,ns,1232
Soundex,,,,,879563.0,ns,1408
Soundex,,,,,990527.0,ns,1584
Soundex,,,,,1098567.0,ns,1760
Soundex,,,,,1224177.0,ns,1936
Soundex,,,,,1348346.0,ns,2112
Soundex,,,,,1422882.0,ns,2288
Soundex,,,,,1561946.0,ns,2464
Soundex,,,,,1663217.0,ns,2640
Soundex,,,,,1758373.0,ns,2816
Soundex,,,,,1870908.0,ns,2992
Soundex,,,,,1974720.0,ns,3168
Soundex,,,,,2092799.0,ns,3344
Soundex,,,,,2199607.0,ns,3520
Soundex,,,,,2306725.0,ns,3696
Soundex,,,,,2448548.0,ns,3872
Soundex,,,,,2569633.0,ns,4048
Soundex,,,,,2646379.0,ns,4224
Soundex,,,,,2692336.0,ns,4400
Soundex,,,,,2778939.0,ns,4576
Soundex,,,,,2884461.0,ns,4752
Soundex,,,,,2983696.0,ns,4928
Soundex,,,,,3176845.0,ns,5104
Soundex,,,,,3334413.0,ns,5280
Soundex,,,,,3517836.0,ns,5456
Soundex,,,,,3632144.0,ns,5632
Soundex,,,,,3723718.0,ns,5808
Soundex,,,,,3723326.0,ns,5984
Soundex,,,,,3840570.0,ns,6160
Soundex,,,,,3949862.0,ns,6336
Soundex,,,,,3980030.0,ns,6512
Soundex,,,,,4043290.0,ns,6688
Soundex,,,,,4151171.0,ns,6864
Soundex,,,,,4250169.0,ns,7040
Soundex,,,,,4495924.0,ns,7216
Soundex,,,,,4603017.0,ns,7392
Soundex,,,,,4721770.0,ns,7568
Soundex,,,,,4825196.0,ns,7744
Soundex,,,,,4931263.0,ns,7920
Soundex,,,,,5002106.0,ns,8096
Soundex,,,,,5163496.0,ns,8272
Soundex,,,,,5271673.0,ns,8448
Soundex,,,,,5372728.0,ns,8624
Soundex,,,,,5485402.0,ns,8800
Soundex,,,,,5744424.0,ns,8976
Soundex,,,,,5784866.0,ns,9152
Soundex,,,,,5819839.0,ns,9328
Soundex,,,,,5887540.0,ns,9504
Soundex,,,,,5849001.0,ns,9680
Soundex,,,,,6004209.0,ns,9856
Soundex,,,,,6256851.0,ns,10032
Soundex,,,,,6477634.0,ns,10208
Soundex,,,,,6666341.0,ns,10384
Soundex,,,,,6573286.0,ns,10560
Soundex,,,,,6610324.0,ns,10736
Soundex,,,,,6717506.0,ns,10912
Soundex,,,,,6711510.0,ns,11088
Soundex,,,,,6991448.0,ns,11264
Soundex,,,,,7062963.0,ns,11440
Soundex,,,,,7234988.0,ns,11616
Soundex,,,,,7361193.0,ns,11792
Soundex,,,,,7381741.0,ns,11968
Soundex,,,,,7744750.0,ns,12144
Soundex,,,,,7838925.0,ns,12320
Soundex,,,,,7787159.0,ns,12496
Soundex,,,,,7815473.0,ns,12672
Soundex,,,,,8216078.0,ns,12848
Soundex,,,,,8191611.0,ns,13024
Soundex,,,,,8210987.0,ns,13200
Soundex,,,,,8234748.0,ns,13376
Soundex,,,,,8437923.0,ns,13552
Soundex,,,,,8542126.0,ns,13728
Soundex,,,,,8673709.0,ns,13904
Soundex,,,,,8936264.0,ns,14080
Soundex,,,,,8868011.0,ns,14256
Soundex,,,,,8721193.0,ns,14432
Soundex,,,,,9005562.0,ns,14608
Soundex,,,,,9217030.0,ns,14784
Soundex,,,,,9636455.0,ns,14960
Soundex,,,,,9427800.0,ns,15136
Soundex,,,,,9549946.0,ns,15312
Soundex,,,,,9614276.0,ns,15488
Soundex,,,,,9761885.0,ns,15664
Soundex,,,,,9829071.0,ns,15840
Soundex,,,,,9961863.0,ns,16016
Soundex,,,,,10084468.0,ns,16192
Soundex,,,,,10206567.0,ns,16368
Soundex,,,,,10222412.0,ns,16544
Soundex,,,,,10564609.0,ns,16720
Soundex,,,,,10486675.0,ns,16896
Soundex,,,,,10523104.0,ns,17072
Soundex,,,,,10910812.0,ns,17248
Soundex,,,,,11208387.0,ns,17424
Soundex,,,,,11264371.0,ns,17600
Soundex,,,,,11079474.0,ns,17776
Soundex,,,,,11157631.0,ns,17952
Soundex,,,,,11094736.0,ns,18128
Soundex,,,,,11308803.0,ns,18304
Soundex,,,,,11498037.0,ns,18480
Soundex,,,,,11657588.0,ns,18656
Soundex,,,,,11779497.0,ns,18832
Soundex,,,,,11778277.0,ns,19008
Soundex,,,,,11680034.0,ns,19184
Soundex,,,,,12127781.0,ns,19360
Soundex,,,,,12593407.0,ns,19536
Soundex,,,,,12551104.0,ns,19712
Soundex,,,,,12110242.0,ns,19888
Soundex,,,,,12208119.0,ns,20064
Soundex,,,,,12845036.0,ns,20240
Soundex,,,,,12749306.0,ns,20416
Soundex,,,,,12748293.0,ns,20592
Soundex,,,,,12872610.0,ns,20768
Soundex,,,,,13058552.0,ns,20944
Soundex,,,,,13164202.0,ns,21120
Soundex,,,,,13286136.0,ns,21296
Soundex,,,,,14060419.0,ns,21472
Soundex,,,,,14142880.0,ns,21648
Soundex,,,,,13555440.0,ns,21824
Soundex,,,,,13562155.0,ns,22000
Soundex,,,,,13987352.0,ns,22176
Soundex,,,,,14284865.0,ns,22352
Soundex,,,,,14275087.0,ns,22528
Soundex,,,,,14157649.0,ns,22704
Soundex,,,,,14179554.0,ns,22880
Soundex,,,,,14284677.0,ns,23056
Soundex,,,,,14865753.0,ns,23232
Soundex,,,,,14473540.0,ns,23408
Soundex,,,,,14855366.0,ns,23584
Soundex,,,,,15080124.0,ns,23760
Soundex,,,,,14934698.0,ns,23936
Soundex,,,,,15051341.0,ns,24112
Soundex,,,,,14932255.0,ns,24288
Soundex,,,,,15161607.0,ns,24464
Soundex,,,,,15140314.0,ns,24640
Soundex,,,,,15488527.0,ns,24816
Soundex,,,,,15552807.0,ns,24992
Soundex,,,,,15802120.0,ns,25168
Soundex,,,,,15589554.0,ns,25344
Soundex,,,,,15726097.0,ns,25520
Soundex,,,,,16027627.0,ns,25696
Soundex,,,,,16123955.0,ns,25872
Soundex,,,,,16237383.0,ns,26048
Soundex,,,,,16749528.0,ns,26224
Soundex,,,,,16662075.0,ns,26400
Soundex,,,,,16671114.0,ns,26576
Soundex,,,,,16881430.0,ns,26752
Soundex,,,,,16972064.0,ns,26928
Soundex,,,,,17085005.0,ns,27104
Soundex,,,,,16764625.0,ns,27280
Soundex,,,,,17301562.0,ns,27456
Soundex,,,,,17402087.0,ns,27632
Soundex,,,,,17134193.0,ns,27808
Soundex,,,,,17707370.0,ns,27984
Soundex,,,,,17619052.0,ns,28160
Soundex,,,,,17409315.0,ns,28336
Soundex,,,,,17867640.0,ns,28512
Soundex,,,,,17853392.0,ns,28688
Soundex,,,,,17706816.0,ns,28864
Soundex,,,,,18112601.0,ns,29040
Soundex,,,,,18054076.0,ns,29216
Soundex,,,,,18094299.0,ns,29392
Soundex,,,,,18506712.0,ns,29568
Soundex,,,,,18518379.0,ns,29744
Soundex,,,,,18633298.0,ns,29920
Soundex,,,,,18947568.0,ns,30096
Soundex,,,,,18767481.0,ns,30272
Soundex,,,,,18834407.0,ns,30448
Soundex,,,,,19273685.0,ns,30624
Soundex,,,,,19022025.0,ns,30800
Soundex,,,,,19561687.0,ns,30976
Soundex,,,,,19337546.0,ns,31152
Soundex,,,,,19316848.0,ns,31328
Soundex,,,,,19278734.0,ns,31504
Soundex,,,,,19854439.0,ns,31680
Soundex,,,,,19857598.0,ns,31856
Soundex,,,,,20137841.0,ns,32032
Soundex,,,,,22318922.0,ns,32208
Soundex,,,,,20395094.0,ns,32384
Soundex,,,,,20298405.0,ns,32560
Soundex,,,,,20241331.0,ns,32736
Soundex,,,,,20504495.0,ns,32912
Soundex,,,,,20475195.0,ns,33088
Soundex,,,,,20687901.0,ns,33264
Soundex,,,,,20799453.0,ns,33440
Soundex,,,,,20764514.0,ns,33616
Soundex,,,,,21090195.0,ns,33792
Soundex,,,,,21353363.0,ns,33968
Soundex,,,,,20959230.0,ns,34144
Soundex,,,,,21075729.0,ns,34320
Soundex,,,,,21192586.0,ns,34496
Soundex,,,,,21617628.0,ns,34672
Soundex,,,,,21686617.0,ns,34848
Soundex,,,,,21975511.0,ns,35024
Soundex,,,,,22043807.0,ns,35200
Soundex,,,,,21804503.0,ns,35376
Soundex,,,,,22048800.0,ns,35552
Soundex,,,,,22167878.0,ns,35728
Soundex,,,,,22183326.0,ns,35904
Soundex,,,,,22875737.0,ns,36080
Soundex,,,,,22517820.0,ns,36256
Soundex,,,,,22123220.0,ns,36432
Soundex,,,,,22866909.0,ns,36608
Soundex,,,,,22782283.0,ns,36784
Soundex,,,,,22788526.0,ns,36960
Soundex,,,,,23210815.0,ns,37136
Soundex,,,,,23436025.0,ns,37312
Soundex,,,,,22900706.0,ns,37488
Soundex,,,,,22917511.0,ns,37664
Soundex,,,,,24160673.0,ns,37840
Soundex,,,,,23334290.0,ns,38016
Soundex,,,,,23458406.0,ns,38192
Soundex,,,,,24099776.0,ns,38368
Soundex,,,,,23572525.0,ns,38544
Soundex,,,,,24061127.0,ns,38720
Soundex,,,,,24946639.0,ns,38896
Soundex,,,,,24136621.0,ns,39072
Soundex,,,,,24147527.0,ns,39248
Soundex,,,,,24099827.0,ns,39424
Soundex,,,,,24911744.0,ns,39600
Soundex,,,,,24177919.0,ns,39776
Soundex,,,,,24569983.0,ns,39952
Soundex,,,,,26807726.0,ns,40128
Soundex,,,,,24633220.0,ns,40304
Soundex,,,,,25868680.0,ns,40480
Soundex,,,,,25459396.0,ns,40656
Soundex,,,,,25776957.0,ns,40832
Soundex,,,,,25418081.0,ns,41008
Soundex,,,,,25644796.0,ns,41184
Soundex,,,,,25495650.0,ns,41360
Soundex,,,,,26308729.0,ns,41536
Soundex,,,,,25784032.0,ns,41712
Soundex,,,,,25886713.0,ns,41888
Soundex,,,,,26112003.0,ns,42064
Soundex,,,,,26573116.0,ns,42240
Soundex,,,,,26769911.0,ns,42416
Soundex,,,,,26476762.0,ns,42592
Soundex,,,,,26996842.0,ns,42768
Soundex,,,,,26512693.0,ns,42944
Soundex,,,,,26983884.0,ns,43120
Soundex,,,,,26878124.0,ns,43296
Soundex,,,,,27300173.0,ns,43472
Soundex,,,,,27484234.0,ns,43648
Soundex,,,,,26798029.0,ns,43824
Soundex,,,,,27267374.0,ns,44000
Soundex,,,,,27687529.0,ns,44176
Soundex,,,,,27586268.0,ns,44352
Soundex,,,,,27800756.0,ns,44528
Soundex,,,,,27447893.0,ns,44704
Soundex,,,,,27795948.0,ns,44880
Soundex,,,,,27733422.0,ns,45056
Soundex,,,,,27984536.0,ns,45232
Soundex,,,,,28334936.0,ns,45408
Soundex,,,,,28707611.0,ns,45584
Soundex,,,,,28039390.0,ns,45760
Soundex,,,,,29432536.0,ns,45936
Soundex,,,,,28061371.0,ns,46112
Soundex,,,,,28615838.0,ns,46288
Soundex,,,,,29665343.0,ns,46464
Soundex,,,,,31760660.0,ns,46640
Soundex,,,,,29322736.0,ns,46816
Soundex,,,,,29299502.0,ns,46992
Soundex,,,,,29440236.0,ns,47168
Soundex,,,,,28715536.0,ns,47344
Soundex,,,,,29784116.0,ns,47520
Soundex,,,,,29661790.0,ns,47696
Soundex,,,,,29720090.0,ns,47872
Soundex,,,,,29976744.0,ns,48048
Soundex,,,,,29509969.0,ns,48224
Soundex,,,,,30888981.0,ns,48400
Soundex,,,,,29520802.0,ns,48576
Soundex,,,,,30861794.0,ns,48752
Soundex,,,,,30696033.0,ns,48928
Soundex,,,,,30289330.0,ns,49104
Soundex,,,,,30761126.0,ns,49280
Soundex,,,,,30323447.0,ns,49456
Soundex,,,,,30561027.0,ns,49632
Soundex,,,,,30776487.0,ns,49808
Soundex,,,,,31012148.0,ns,49984
Soundex,,,,,30699054.0,ns,50160
Soundex,,,,,31184537.0,ns,50336
Soundex,,,,,30995589.0,ns,50512
Soundex,,,,,31795024.0,ns,50688
Soundex,,,,,32103657.0,ns,50864
Soundex,,,,,31523297.0,ns,51040
Soundex,,,,,31971802.0,ns,51216
Soundex,,,,,32039482.0,ns,51392
Soundex,,,,,31940811.0,ns,51568
Soundex,,,,,32660896.0,ns,51744
Soundex,,,,,32046826.0,ns,51920
Soundex,,,,,32531700.0,ns,52096
Soundex,,,,,32551945.0,ns,52272
Soundex,,,,,39394809.0,ns,52448
Soundex,,,,,32924723.0,ns,52624
Soundex,,,,,33544842.0,ns,52800
